PolicyNumber,VIN
TXFB-100214,ANR32J7C6TSYWN9X0
TXFB-100215,9VW6VUDL0TJBWA1JD
TXFB-100216,6YTWS8AV29NKF4SE4
TXFB-100217,KTHX8MT3JRWZA2DU1
TXFB-100218,6LN2BS4FG1XE5893U
TXFB-100219,USLJ0LEBHA7THEMEA
TXFB-100220,ZU4W0P4F2MVEB7ERV
TXFB-100221,RJNMP8T7L71V0NPY0
TXFB-100222,AP2SYHJ58CMUBLS9S
TXFB-100223,U12RBMN4P5XVP4CXG
TXFB-100224,D4BWCHGM14YUA7CHT
TXFB-100225,SHR4L9UMF998GV2Z6
TXFB-100226,06H6AV4H2GFVK78SZ
TXFB-100227,F001LZ0MZ27H1CDJ1
TXFB-100228,273MREMU2B6F46TTK
TXFB-100229,84AJUVUG9Z79NCSA3
TXFB-100230,HZGL4BR090FE5GUPT
TXFB-100231,NY7TSNYZ6D1JN3KFZ
TXFB-100232,SJ6SHN2R9LC88E1X9
TXFB-100233,YRG6BT6DPPYGLS7Z0
TXFB-100234,ZCFK2EPHH9XZNZ7B0
TXFB-100235,RPRCBPT9WUA8FTF5B
TXFB-100236,EG7DNMX2A8Z15WY51
TXFB-100237,JP18RJHWEPDH6JF41
TXFB-100238,BF7UUW3UUYGXX8365
TXFB-100239,3J0EZGFWBS15VXXNE
TXFB-100240,J98LDE88G8PYXVBWW
TXFB-100241,VM3A6NB56JKU2ERCE
TXFB-100242,SYZKB1JWMFPZKVX3R
TXFB-100243,FBMF839LKT5TXJTVV
TXFB-100244,4UDT5ELJL847MVBEM
TXFB-100245,35HWDYYU8SCZRNJYW
TXFB-100246,X98127116GBZTT3SB
TXFB-100247,LYLM6G2SV60Z00GNZ
TXFB-100248,BHABXJSUN8KC2N7W7
TXFB-100249,9M4BDGDFLEUWPVXYV
TXFB-100250,8RMXL3D40KV5G0XX4
TXFB-100251,BZ1T52XGSSTYHX95W
TXFB-100252,AJEPRUZF3D9NCRP9P
TXFB-100253,VRYDL0X53YBEKWRHT
TXFB-100254,4BR5GDSF6SBVMSKGE
TXFB-100255,2L4MSSD13SCR973N4
TXFB-100256,3VZW3KZ65DPCXFTPA
TXFB-100257,ALSVWX3MPK2X5BR6L
TXFB-100258,BX038FD6D8SZCXGT1
TXFB-100259,FUJ4PYX584HBP4NT5
TXFB-100260,PMA9EPP8LY1UC099B
TXFB-100261,EFN9VY6PCNTKYATKY
TXFB-100262,HPL2W9F607N33XLSK
TXFB-100263,N1M70L060TYYGGYU5
TXFB-100264,VURCRJRMFEEKVVHTE
TXFB-100265,X99UAZ74N0BDYJDYF
TXFB-100266,L3LA7J0L0GX8T1XUA
TXFB-100267,HNYVFTR1L75VKYERU
TXFB-100268,VNVKZNPV7F7GGGR4U
TXFB-100269,LBMXGXXXHFVA59EZH
TXFB-100270,VPR45XMPYE8B213L0
TXFB-100271,N7VERLPJ2L4EHKBJT
TXFB-100272,X68CEF3TMFCPCPXL1
TXFB-100273,AZB7S0YYLXZ9XCWUF
TXFB-100274,WEZFURT1YYZLM03J-
TXFB-100275,P2V8SA151VEB9SN9V
TXFB-100276,NJRF1MK5NUY74WVLD
TXFB-100277,VAHL5W2ZZK0YMLC0P
TXFB-100278,SMX9UDP2W1N5C2TTV
TXFB-100279,86LRFV1BXMEV97JAK
TXFB-100280,X6XF0UC2PD2TGZDU7
TXFB-100281,ACSUMT2SXXPNNVFLJ
TXFB-100282,0LVX8N0J2BMZ41LLV
TXFB-100283,MYZJPX9219J71J5P3
TXFB-100284,KF7SR07U75MPRU5EJ
TXFB-100285,N222KMK288X1S2R
TXFB-100286,KFMUNZ2ESDDSJY8AK
TXFB-100287,Z6Y2EFN4JBGHTSF22
TXFB-100288,GND1HTYAL6K0R7V3Z
TXFB-100289,D4Y0Z7ST6E1EJR6B6
TXFB-100290,6RGLGTR9PVE79NET6
TXFB-100291,SZVSBANYKYHP23ZV7
TXFB-100292,EE5MY6U2HBR5GGV5T
TXFB-100293,GG6PBUGJNZ9TJPG57
TXFB-100294,W2GZYU81CCVFSLAKB
TXFB-100295,T0YJ7KUGH0AU7CNCJ
TXFB-100296,NMR5C9U95DG7PN40N
TXFB-100297,8P9XM0PSZ3ZHB0VAX
TXFB-100298,SCDK2BDY6F9TXAVFF
TXFB-100299,T8VVUVJUMZZ7JRVWJ
TXFB-100300,9JHC4CTYNYASTZG0M
TXFB-100301,UVZDB2C4S7D6XV0MF
TXFB-100302,DECC6L6Z16SSH0AFU
TXFB-100303,37EZPC47NHFX6PYFG
TXFB-100304,L51RU0ZTBFRN3JS29
TXFB-100305,B9KY89M69U6FM2T84
TXFB-100306,J24LXY1S842XNBUST
TXFB-100307,3DT5SA7J2VEXC3W5H
TXFB-100308,1C0913MSBS2X0BJYJ
TXFB-100309,LVA4EAWE7MB9DB8WB
TXFB-100310,LG27JFJYPJF5ZSKPH
TXFB-100311,33XBHUDSTFXNPP1HM
TXFB-100312,YP20YW23C7V964EPZ
TXFB-100313,F7PTTG1735KS15C
TXFB-100314,DLB0UABR3D4RH8RSE
TXFB-100315,R6J39C604X5V7JLWG
TXFB-100316,P1400MTVENATEPP5-
TXFB-100317,UFPBG7F19BRX63STL
TXFB-100318,1AJACPVVVJ5K2PX5Y
TXFB-100319,98YYNAS7LW7SF6X6L
TXFB-100320,754GAG7AJZKPKTVD4
TXFB-100321,DV4XG50TSLKL3NX0C
TXFB-100322,75YS5W1R6D2768VDE
TXFB-100323,5WA1FLXRNUG0144LJ
TXFB-100324,S3V9J47THDHBK47GX
TXFB-100325,JSU9H98E3UJ845UZG
TXFB-100326,EN6M9FHUSL94YJUGL
TXFB-100327,E6UHL0U2LJ66DX6EJ
TXFB-100328,F60Y2XULVR37E0H6L
TXFB-100329,HJYKYFFHEPXFUX26U
TXFB-100330,P9PF4XL3G0DX157LS
TXFB-100331,VH1NA1LN2NX9Z4HV9
TXFB-100332,Z3SDBJ4U65NH2RBYZ
TXFB-100333,1Z3SZC5797WM89ADF
TXFB-100334,BMRYY8N0DNU7UBW7G
TXFB-100335,HBYYC9CLYEYGB6K90
TXFB-100336,B2VFXG7PZW4J9M3M8
TXFB-100337,ME0PNYYESJBYDWNW9
TXFB-100338,6U4895FL664FD361X
TXFB-100339,P2BGSHJ6AD88BEA2X
TXFB-100340,LX3KD6FX0NVDXA7E7
TXFB-100341,B8R30DV4P6E4VKHF0
TXFB-100342,HVE76EDV3GHSAKPLK
TXFB-100343,00LENLZ8DG67Z1BE-
TXFB-100344,L38HYXAMZYNEW4PUJ
TXFB-100345,FD2V1RTTY3SDE564U
TXFB-100346,6MME1FYD7CG3EYY4W
TXFB-100347,YD1T6830JP82X96S-
TXFB-100348,HVK8KUHXF9PL3UM81
TXFB-100349,ERV781VA2NX1ELL06
TXFB-100350,TGHLULV5VGJB2LG3P
TXFB-100351,PLTXH0B37SYLF214E
TXFB-100352,5K2N3RX14GHUNKG03
TXFB-100353,21JTGNGWRDJVNAPT-
TXFB-100354,9JSU8LVU35C2XM55-
TXFB-100355,7A6RNBP37PM1KF6M1
TXFB-100356,4YG4UHXXRC62EAF7W
TXFB-100357,3APKR6TZGJHRTJPZB
TXFB-100358,K5EBZ45FV8HHYAWL5
TXFB-100359,HKK10KRMGSF9JZY1X
TXFB-100360,XSXTGXDV2LFH9N76W
TXFB-100361,8VKVUWUUS357CPARG
TXFB-100362,D7VUY0NTVL71PUDTY
TXFB-100363,HVXX7H2NVW38P15
TXFB-100364,JGJ2LWL8PRDYGHHNM
TXFB-100365,XRTDFMHB0M1MD0VAX
TXFB-100366,X89XRLZY3HAUS1FTU
TXFB-100367,1BWUKGBJCP23XS6UN
TXFB-100368,YWG8HY6TJ47RCUM1X
TXFB-100369,MBN26R4NUX3XZ9D3X
TXFB-100370,14CDK19DXKEBUBHJ6
TXFB-100371,5RN77BKTG2F469W6G
TXFB-100372,NN6591CE3PRUUG9DJ
TXFB-100373,DXNJAZKRFXXFKL3F0
TXFB-100374,BVX85WD4SAN2MNCAU
TXFB-100375,9HKZFW9SWYFZH5AUV
TXFB-100376,YXGYR53J1VRARRLBJ
TXFB-100377,LYE4Z391J1G40W648
TXFB-100378,HFFW3BUPV6JSENL15
TXFB-100379,PD4517LZKPSVE5EX3
TXFB-100380,4WHC5VPT1YE0B6VDW
TXFB-100381,X2506JATA4AAG00T4
TXFB-100382,RMHUS3AL5HFM2HX54
TXFB-100383,12KM35LF47LT39XSC
TXFB-100384,HYYUT3LGZMR9LXN0H
TXFB-100385,KSG3RGZT7YMG6AYY6
TXFB-100386,K6R3P14YMNY2ASYRL
TXFB-100387,GHJ5KH8G9SY13N24M
TXFB-100388,EVZTBTZGV2J9G4TZ7
TXFB-100389,0VR5V02U4GEUPX9EW
TXFB-100390,63LG7W5L21YU05WN7
TXFB-100391,00VXGBZJPPWU6UXX2
TXFB-100392,Y85ABEK7GD097PAVB
TXFB-100393,YECUWH36A2NHJWS15
TXFB-100394,AMS83DT6029NY24SA
TXFB-100395,SFW3EPMN6L7SVR4UT
TXFB-100396,SNSCR38PFRZYC939B
TXFB-100397,HP21RH1VWDY6CJ733
TXFB-100398,URLJZJFE10HU3ELT0
TXFB-100399,Y2RHFXP0JJW3LF3GX
TXFB-100400,1AWUGP7C03L37LY
TXFB-100401,XDZ0JBYK1RAZAZL0V
TXFB-100402,LEB0P8P4LP37CMAGW
TXFB-100403,VZXN0P7D7H5Z1N5J6
TXFB-100404,0YG2HP4MUDD9XT9RG
TXFB-100405,ZWC29PBD3R3PTCT2V
TXFB-100406,K7DXDK58L4EURJCUK
TXFB-100407,UNC5KLHPT7P2L6JRE
TXFB-100408,6VXTEF28C0H9DFEF6
TXFB-100409,R09L19Y1G01KFURUZ
TXFB-100410,2Y9R2AWLXZTUCTZ1N
TXFB-100411,YC39CC2W15AJWY3WP
TXFB-100412,S860ZTCSWBZ4UR00R
TXFB-100413,SZ4AY3KAPAHRLZ1U4
TXFB-100414,8AJ6WV0D723DG0NGG
TXFB-100415,W2HFCGTLRW8R3B6D4
TXFB-100416,Z1UUTK3LXKE1Y0DVB
TXFB-100417,MFV68TY1J5MLY6FVC
TXFB-100418,JA7XMR8HXHGFC7YAV
TXFB-100419,2NXTU82K0VHSG07MV
TXFB-100420,TR87YZLUM8LMK9GMU
TXFB-100421,BB3WA8TXH2U16LG6E
TXFB-100422,VETDF8CR89NGUZTBT
TXFB-100423,53EPSPYH3KCY5KAT9
TXFB-100424,P0S2349UTJR2U4J25
TXFB-100425,USNLKMKF236XHS8Y-
TXFB-100426,A0LB8MZWC3YCA6TSP
TXFB-100427,S62V3S47Y5DG09N21
TXFB-100428,B9WTGFKKTM8UN3LCJ
TXFB-100429,YG55T0AZPNCYMNYLB
TXFB-100430,4NLAAE36SHE1F8YWH
TXFB-100431,JEE9KNWUYJ3JXW8GS
TXFB-100432,X9ZDJ60TV412VJJBZ
TXFB-100433,F4RG878Z8UNZNX3BJ
TXFB-100434,40MPX5PGEGNRN79EJ
TXFB-100435,GH3W1Z1TD4FMJFLVH
TXFB-100436,1XD79A464BSK96Z5L
TXFB-100437,YZDWW3Y3P1V1P1S8R
TXFB-100438,BVSBGC8UMV90Y3GY2
TXFB-100439,FVYYMACUCR6KPHH6E
TXFB-100440,PV9AS916TN6LLAXJV
TXFB-100441,Y6PMECD4VE4DKYMR4
TXFB-100442,U6WRP397112AYUKNW
TXFB-100443,0N78LEZ3TC60MDYRD
TXFB-100444,WAYJRBBSZXLC54NAG
TXFB-100445,DY81VLVC6KKGH7RHL
TXFB-100446,RBGCH09YV4NVETM0V
TXFB-100447,79N571C5UV81XN6HH
TXFB-100448,PTU4TSWR05M3HFH05
TXFB-100449,PMWRKWPTSPWC8XX
TXFB-100450,53M0UL19FF3KUB7KY
TXFB-100451,T6RMEWE0LDJA0Y4T9
TXFB-100452,3R7N3X73US7S3EUW3
TXFB-100453,3H77WXVUC6JTV2R3W
TXFB-100454,T499ZE1ZYKXVZZ9GD
TXFB-100455,SSUBVGZBE02V4LGYM
TXFB-100456,N17CDRV954LRV4H1A
TXFB-100457,BJSK7FV5TL3HAD6PT
TXFB-100458,X5E74P6Z4FR11HV3K
TXFB-100459,KJG3N4M6EG9Y54AU3
TXFB-100460,U3U4JK5UUR66XW9H-
TXFB-100461,0TX31MN9H0GXYLXBJ
TXFB-100462,2E3C5P4T5VNUB9KKW
TXFB-100463,6HNZDBP42508SEDG8
TXFB-100464,VYX3LKAUZBFPPGCHG
TXFB-100465,B5F077LMXSH6P6DPP
TXFB-100466,FADXP0ZDYF7WLAL9E
TXFB-100467,FG96DNXULUA0YCEP1
TXFB-100468,LL2KAJ2XARBPNVBC-
TXFB-100469,V1UAPZWDR13PN88T9
TXFB-100470,5TWP145PC8V1DK6JV
TXFB-100471,MRZTDY5FVX01MFZB4
TXFB-100472,9ERMVPCYRHJM7ALR9
TXFB-100473,90DHTGH8R7D3V4R2U
TXFB-100474,CGM42RC994R9R0KBY
TXFB-100475,Y63FTC0PRMTBL2RK4
TXFB-100476,LA0ZR1450W6JBDS1F
TXFB-100477,TZ1ZMZJGHDY87CBUY
TXFB-100478,TDE44Z3KEZKF2XYMR
TXFB-100479,GB7724XHWA5E67ARN
TXFB-100480,VKR0D38D684Y7V1KB
TXFB-100481,8YL55LA1TD1G7RN8W
TXFB-100482,S560NE6214WBL4ESA
TXFB-100483,14DV2B15K04HRR5FS
TXFB-100484,9YA2JP30UDNEFDP
TXFB-100485,BT8L42KHR7YF2P4M-
TXFB-100486,E81SVC39J0XK5CMTT
TXFB-100487,F3EREPXHCE6LZ101K
TXFB-100488,9RYP25KUF7HSP01EG
TXFB-100489,PPZJRJA36Z618DA06
TXFB-100490,N60S17YN2WM7ARWXN
TXFB-100491,HS6SA9ZJCUNUYA090
TXFB-100492,Y51ERMEJYRJ5GJ9X7
TXFB-100493,VJMD4JPPN03391UNK
TXFB-100494,LUG8V8GDT521AGL37
TXFB-100495,UKV29CT0VJ7Y3U0AB
TXFB-100496,MLC5CG5VTBB1NK4YP
TXFB-100497,26RFV2NHA7VCDDS61
TXFB-100498,AUNU683RJRHTXRGWN
TXFB-100499,M3GN34KF9NW0AZU70
TXFB-100500,NM6GF9LM90FBTM772
TXFB-100501,BD2MC0UYE0E3EJ16U
TXFB-100502,WS9471M0Y6W2NYJKN
TXFB-100503,H1U7KFZWUXDKF7LPT
TXFB-100504,LWARBTEAXDAGEY2C5
TXFB-100505,2LTSL6G4EKC1VSE9Z
TXFB-100506,5U2N56X0AHBFUFVGD
TXFB-100507,24D4GCJ4CNX7U9T74
TXFB-100508,JWRA1VDGWXENK7HLN
TXFB-100509,TKVC46SZLBSSEX10H
TXFB-100510,C27KPXZ6SPU03G4Z2
TXFB-100511,8JJSBAU4WDGR2WDUC
TXFB-100512,C55CV89C0KM0E0EH7
TXFB-100513,SJYTGBXCT6DEX8AY6
TXFB-100514,PNDBPZF2B5CSY4T3F
TXFB-100515,K4XWS09ZYK0XATGZ4
TXFB-100516,F5TX4BZFVEME39BV-
TXFB-100517,6HUNFLFT9FB2VAKZT
TXFB-100518,5MUAE3RY14HRY25H4
TXFB-100519,0GJV6A2CT8JVKZMSB
TXFB-100520,VU4XE8VWT1TCM4FT3
TXFB-100521,XJ4TGETSFFXPT5ZHN
TXFB-100522,XVXYP8HMZET4ZCVJK
TXFB-100523,ACR2J8HHL0BNRY397
TXFB-100524,BM4S60EVTDAJ0EZ1K
TXFB-100525,G5AU0ZRLL70T6W0YZ
TXFB-100526,D5F8K2AXPJBN24SPV
TXFB-100527,LXKRD940Y0MS3MLXD
TXFB-100528,J73S01UR7T4MC5VRS
TXFB-100529,JJPRW5Z5JDERVMWM-
TXFB-100530,PGS1RCHBT1PCFAKUS
TXFB-100531,37ZWL2J6J1CTEKVGM
TXFB-100532,R7FV3AAD1JJD4A5CH
TXFB-100533,LMV12XBMSRY8F3RDT
TXFB-100534,CV4P63J6FSYWXRYPC
TXFB-100535,8HRXDW5TXLMV781KM
TXFB-100536,1AHKD8RVSH7FRRYHU
TXFB-100537,S0XUE5K7FL2J3JJGW
TXFB-100538,W3V8PKHM9XT43MGWA
TXFB-100539,H3WL5F7GR0FVA1ELT
TXFB-100540,71PYXW0XN16CDBLSV
TXFB-100541,XKSF5XX4SBTTVT4SE
TXFB-100542,SD7F0C9T8KTK1GSSP
TXFB-100543,HYV1LESKHFGMJ686W
TXFB-100544,324BFGZA01A1NFRL1
TXFB-100545,NSUT225ADC5L8K0H7
TXFB-100546,WLZH9WUT5BXVCFEFM
TXFB-100547,K915HGLVSR5TBP3TJ
TXFB-100548,D4K4YFBTP8DGUPPJU
TXFB-100549,83EHTWBUGK34ZBZ7K
TXFB-100550,MDMGBMU8U0YZ5FZJW
TXFB-100551,4FG2WH5ZL1P8G3NLH
TXFB-100552,N483S1U66NWDV9MF0
TXFB-100553,LHRKEGH81LG13AD6N
TXFB-100554,3XYF0MC12FHDBAR91
TXFB-100555,PPNR9ZKYPRNVEEFJD
TXFB-100556,N5ZZNVVB0MXBZFVC0
TXFB-100557,4UPJS1VJMTALRW0DA
TXFB-100558,ZVNVM3282YM82GS3W
TXFB-100559,D1SGGXYCA29KGH0XF
