PolicyNumber,TotalPremium
TXFB-100152,2241.25
TXFB-100153,721.89
TXFB-100154,1024.99
TXFB-100155,3169.08
TXFB-100156,2326.06
TXFB-100157,3350.85
TXFB-100158,3496.25
TXFB-100159,1615.58
TXFB-100160,1396.41
TXFB-100161,3075.07
TXFB-100162,3495.83
TXFB-100163,2388.92
TXFB-100164,2885.42
TXFB-100165,2845.24
TXFB-100166,1566.02
TXFB-100167,2222.81
TXFB-100168,2999.17
TXFB-100169,2564.34
TXFB-100170,563.49
TXFB-100171,1510.12
TXFB-100172,933.43
TXFB-100173,1198.92
TXFB-100174,3216.47
TXFB-100175,610.68
TXFB-100176,1159.4
TXFB-100177,1384.8263358169775
TXFB-100178,2350.65
TXFB-100179,2102.31
TXFB-100180,1154.81
TXFB-100181,992.72
TXFB-100182,1210.39
TXFB-100183,2007.59
TXFB-100184,1313.53
TXFB-100185,3342.81
TXFB-100186,1891.6
TXFB-100187,676.39
TXFB-100188,2687.8
TXFB-100189,1486.54
TXFB-100190,2460.47
TXFB-100191,1338.78
TXFB-100192,2212.23
TXFB-100193,2816.46
TXFB-100194,3284.03
TXFB-100195,1283.38
TXFB-100196,1504.57
TXFB-100197,1892.8
TXFB-100198,3281.52
TXFB-100199,3204.16
TXFB-100200,769.63
TXFB-100201,895.79
TXFB-100202,1986.53
TXFB-100203,819.86
TXFB-100204,1536.74
TXFB-100205,945.16
TXFB-100206,2408.12
TXFB-100207,3348.49
TXFB-100208,3490.2
TXFB-100209,1625.72
TXFB-100210,2297.04
TXFB-100211,3068.8
TXFB-100212,852.39
TXFB-100213,2568.69
TXFB-100214,1726.53
TXFB-100215,1118.44
TXFB-100216,1708.26
TXFB-100217,727.88
TXFB-100218,2586.22
TXFB-100219,1258.23
TXFB-100220,1434.22
TXFB-100221,863.24
TXFB-100222,3028.8152754708135
TXFB-100223,1980.33
TXFB-100224,2216.44
TXFB-100225,2208.3
TXFB-100226,1731.48
TXFB-100227,1077.59
TXFB-100228,2735.4
TXFB-100229,881.17
TXFB-100230,811.62
TXFB-100231,2630.44
TXFB-100232,1126.51
TXFB-100233,1420.32
TXFB-100234,1925.68
TXFB-100235,1848.05
TXFB-100236,2625.74
TXFB-100237,2370.3
TXFB-100238,2348.6798881651907
TXFB-100239,2642.16
TXFB-100240,1377.84
TXFB-100241,1467.0
TXFB-100242,1813.99
TXFB-100243,1422.39
TXFB-100244,3454.81
TXFB-100245,2942.16
TXFB-100246,993.96
TXFB-100247,516.78
TXFB-100248,628.35
TXFB-100249,1232.19
TXFB-100250,842.87
TXFB-100251,2100.01
TXFB-100252,3073.99
TXFB-100253,2710.25
TXFB-100254,1146.83
TXFB-100255,1697.9
TXFB-100256,2023.68
TXFB-100257,2930.62
TXFB-100258,3017.36
TXFB-100259,3229.15
TXFB-100260,2027.74
TXFB-100261,2582.82
TXFB-100262,835.4
TXFB-100263,2195.87
TXFB-100264,1246.08
TXFB-100265,1795.15
TXFB-100266,2402.15
TXFB-100267,1270.96
TXFB-100268,656.56
TXFB-100269,530.7
TXFB-100270,566.48
TXFB-100271,525.05
TXFB-100272,831.07
TXFB-100273,1218.47
TXFB-100274,1163.66
TXFB-100275,3460.39
TXFB-100276,1418.02
TXFB-100277,882.26
TXFB-100278,2136.69
TXFB-100279,3073.87
TXFB-100280,2534.18
TXFB-100281,1388.25
TXFB-100282,2184.85
TXFB-100283,2644.57
TXFB-100284,2684.31
TXFB-100285,2436.5652651447526
TXFB-100286,3112.43
TXFB-100287,3110.32
TXFB-100288,2236.81
TXFB-100289,1789.57
TXFB-100290,2424.71
TXFB-100291,2954.64
TXFB-100292,516.96
TXFB-100293,3475.99
TXFB-100294,1048.68
TXFB-100295,1910.75
TXFB-100296,3116.09
TXFB-100297,1175.12
TXFB-100298,1930.39
TXFB-100299,897.75
TXFB-100300,1685.23
TXFB-100301,1031.41
TXFB-100302,1590.88
TXFB-100303,1620.39
TXFB-100304,3479.51
TXFB-100305,3484.44
TXFB-100306,844.36
TXFB-100307,2677.91
TXFB-100308,655.24
TXFB-100309,590.58
TXFB-100310,816.0
TXFB-100311,3396.46
TXFB-100312,3322.59
TXFB-100313,1081.78
TXFB-100314,985.02
TXFB-100315,1221.61
TXFB-100316,2046.64
TXFB-100317,2209.11
TXFB-100318,1164.78
TXFB-100319,2769.87
TXFB-100320,1428.66
TXFB-100321,3266.39
TXFB-100322,2470.17
TXFB-100323,1809.05
TXFB-100324,2869.74
TXFB-100325,2953.74
TXFB-100326,1371.44
TXFB-100327,1519.14
TXFB-100328,3307.87
TXFB-100329,994.22
TXFB-100330,626.45
TXFB-100331,1862.17
TXFB-100332,2903.63
TXFB-100333,2815.0
TXFB-100334,3258.59
TXFB-100335,2099.6
TXFB-100336,800.19
TXFB-100337,2266.07
TXFB-100338,2835.19
TXFB-100339,760.7720582752404
TXFB-100340,1017.97
TXFB-100341,536.87
TXFB-100342,2280.96
TXFB-100343,3160.2
TXFB-100344,2511.99
TXFB-100345,3446.12
TXFB-100346,689.1
TXFB-100347,3209.0
TXFB-100348,2942.2
TXFB-100349,1442.72
TXFB-100350,3420.58
TXFB-100351,1363.81
TXFB-100352,3167.91
TXFB-100353,3142.25
TXFB-100354,2772.97
TXFB-100355,2190.41
TXFB-100356,860.01
TXFB-100357,2095.92
TXFB-100358,1570.39
TXFB-100359,2876.65
TXFB-100360,2774.39
TXFB-100361,3231.84
TXFB-100362,544.49
TXFB-100363,2927.31
TXFB-100364,3231.970716352757
TXFB-100365,2867.9
TXFB-100366,890.58
TXFB-100367,743.84
TXFB-100368,562.54
TXFB-100369,2319.9234742226586
TXFB-100370,2389.02
TXFB-100371,3460.74
TXFB-100372,1694.13
TXFB-100373,1495.72
TXFB-100374,2373.27
TXFB-100375,2976.83
TXFB-100376,3310.32
TXFB-100377,2909.37
TXFB-100378,1780.02
TXFB-100379,2404.74
TXFB-100380,3068.9
TXFB-100381,1971.83
TXFB-100382,1150.06
TXFB-100383,1009.17
TXFB-100384,500.47
TXFB-100385,2654.71
TXFB-100386,833.29
TXFB-100387,1231.52
TXFB-100388,1336.2629908958384
TXFB-100389,2181.14
TXFB-100390,1693.87
TXFB-100391,2524.02
TXFB-100392,666.92
TXFB-100393,871.82
TXFB-100394,1997.63
TXFB-100395,1510.89
TXFB-100396,1387.44
TXFB-100397,701.08
TXFB-100398,3187.16
TXFB-100399,2575.46
TXFB-100400,864.85
TXFB-100401,695.14
TXFB-100402,3424.62
TXFB-100403,2543.52
TXFB-100404,1752.37
TXFB-100405,2605.19
TXFB-100406,2769.0
TXFB-100407,2839.89
TXFB-100408,1933.63
TXFB-100409,1789.65
TXFB-100410,533.08
TXFB-100411,3279.67
TXFB-100412,2309.92
TXFB-100413,1109.46
TXFB-100414,3258.81
TXFB-100415,3244.8
TXFB-100416,3467.55
TXFB-100417,3122.17
TXFB-100418,3493.35
TXFB-100419,1234.06
TXFB-100420,3026.75
TXFB-100421,2969.08
TXFB-100422,1192.82
TXFB-100423,795.31
TXFB-100424,3438.26
TXFB-100425,1388.07
TXFB-100426,3112.68
TXFB-100427,439.0305396442667
TXFB-100428,563.07
TXFB-100429,1897.61
TXFB-100430,1216.14
TXFB-100431,2569.52
TXFB-100432,2196.69
TXFB-100433,732.46
TXFB-100434,987.88
TXFB-100435,1664.15
TXFB-100436,1056.81
TXFB-100437,2876.67
TXFB-100438,1748.21
TXFB-100439,780.3
TXFB-100440,1953.03
TXFB-100441,772.51
TXFB-100442,886.81
TXFB-100443,1218.83
TXFB-100444,3078.58
TXFB-100445,3273.84
TXFB-100446,2978.77
TXFB-100447,1502.23
TXFB-100448,1317.34
TXFB-100449,2147.47
TXFB-100450,2665.56
TXFB-100451,3480.12
TXFB-100452,894.71
TXFB-100453,647.88
TXFB-100454,2583.07
TXFB-100455,2996.68
TXFB-100456,3039.05
TXFB-100457,2535.39
TXFB-100458,3362.05
TXFB-100459,2033.01
TXFB-100460,3191.6483838224476
TXFB-100461,3403.44
TXFB-100462,3041.47
TXFB-100463,1429.28
TXFB-100464,1088.65
TXFB-100465,2144.36
TXFB-100466,1859.04
TXFB-100467,3133.28
TXFB-100468,800.1
TXFB-100469,1273.22
TXFB-100470,2721.954412235752
TXFB-100471,784.96
TXFB-100472,1462.29
TXFB-100473,1661.47
TXFB-100474,2367.78
TXFB-100475,974.4
TXFB-100476,3081.81
TXFB-100477,1842.63
TXFB-100478,3251.07
TXFB-100479,1903.61
TXFB-100480,1325.12
TXFB-100481,925.49
TXFB-100482,511.24
TXFB-100483,2096.47
TXFB-100484,821.47
TXFB-100485,1675.18
TXFB-100486,2267.82
TXFB-100487,1327.06
TXFB-100488,1025.67
TXFB-100489,2824.16
TXFB-100490,3340.37
TXFB-100491,801.32
TXFB-100492,875.1242364746604
TXFB-100493,3380.04
TXFB-100494,613.35
TXFB-100495,3432.9
TXFB-100496,513.93
TXFB-100497,3121.01
TXFB-100498,1421.98
TXFB-100499,3315.77
TXFB-100500,1450.84
TXFB-100501,2462.92
TXFB-100502,740.1
TXFB-100503,1226.99
TXFB-100504,2821.04
TXFB-100505,2047.2739652326022
TXFB-100506,3283.91
TXFB-100507,1786.25
TXFB-100508,3109.44
TXFB-100509,1846.87
TXFB-100510,3437.74
TXFB-100511,3379.5
TXFB-100512,1487.41
TXFB-100513,3157.77
TXFB-100514,3042.83
TXFB-100515,1132.04
TXFB-100516,2372.87
TXFB-100517,718.05
TXFB-100518,3010.13
TXFB-100519,1023.64
TXFB-100520,712.44
TXFB-100521,1700.66
TXFB-100522,2230.77
TXFB-100523,3064.75
TXFB-100524,3422.73
TXFB-100525,1818.48
TXFB-100526,681.34
TXFB-100527,2747.35
TXFB-100528,2195.52
TXFB-100529,1843.67
TXFB-100530,1427.81
TXFB-100531,2007.2
TXFB-100532,1516.04
TXFB-100533,2771.04
TXFB-100534,2131.68
TXFB-100535,3130.54
TXFB-100536,2130.63
TXFB-100537,1214.79
TXFB-100538,3053.28
TXFB-100539,2171.66
TXFB-100540,1120.52
TXFB-100541,2370.52
TXFB-100542,1573.15
TXFB-100543,3033.22
TXFB-100544,1859.9
TXFB-100545,2679.32
TXFB-100546,786.61
TXFB-100547,1688.07
TXFB-100548,3449.72
TXFB-100549,2925.38
TXFB-100550,979.82
TXFB-100551,1333.29
TXFB-100552,1489.45
TXFB-100553,2451.1
TXFB-100554,2770.98
TXFB-100555,2748.58
TXFB-100556,2029.62
TXFB-100557,2932.46
TXFB-100558,1811.23
TXFB-100559,871.64
TXFB-100560,2193.33
TXFB-100561,3356.9
TXFB-100562,2878.98
TXFB-100563,2236.1
TXFB-100564,2440.42
TXFB-100565,3291.69
TXFB-100566,1785.03
TXFB-100567,1494.18
TXFB-100568,3431.72
TXFB-100569,3090.33
TXFB-100570,1469.13
TXFB-100571,1891.34
TXFB-100572,1745.23
TXFB-100573,947.29
TXFB-100574,3373.46
TXFB-100575,1712.94
TXFB-100576,3125.99
TXFB-100577,1068.07
TXFB-100578,2143.61
TXFB-100579,571.88
TXFB-100580,2792.66
TXFB-100581,2242.74
TXFB-100582,2376.77
TXFB-100583,655.16
TXFB-100584,1133.11
TXFB-100585,722.99
TXFB-100586,1366.74
TXFB-100587,2382.32
TXFB-100588,2198.56
TXFB-100589,2336.45
TXFB-100590,2147.75
TXFB-100591,1319.09
TXFB-100592,1233.52
TXFB-100593,911.18
TXFB-100594,3047.21
TXFB-100595,2349.44
TXFB-100596,965.1829553514651
TXFB-100597,1031.63
TXFB-100598,3119.11
TXFB-100599,2728.19
TXFB-100600,2478.2
TXFB-100601,1720.59
TXFB-100602,1285.93
TXFB-100603,3438.35
TXFB-100604,2891.72
TXFB-100605,1405.34
TXFB-100606,3042.69
TXFB-100607,2776.8
TXFB-100608,1391.24
TXFB-100609,1779.66
TXFB-100610,1057.86
TXFB-100611,833.16
TXFB-100612,2668.29
TXFB-100613,1302.54
TXFB-100614,2960.18
TXFB-100615,3486.83
TXFB-100616,729.86
TXFB-100617,1919.11
TXFB-100618,2906.19
TXFB-100619,2866.85
TXFB-100620,2779.99
TXFB-100621,1546.98
TXFB-100622,1861.56
TXFB-100623,2284.91
TXFB-100624,3421.82
TXFB-100625,1482.64
TXFB-100626,3269.43
TXFB-100627,1308.07
TXFB-100628,3467.22
TXFB-100629,2510.79
TXFB-100630,1890.53
TXFB-100631,2340.17
TXFB-100632,1317.59
TXFB-100633,1322.52
TXFB-100634,840.66
TXFB-100635,842.15
TXFB-100636,1543.02
TXFB-100637,2788.57
TXFB-100638,2323.91
TXFB-100639,807.75
TXFB-100640,3056.71
TXFB-100641,2304.1
TXFB-100642,3382.57
TXFB-100643,2510.56
TXFB-100644,1025.52
TXFB-100645,1921.35
TXFB-100646,2445.49
TXFB-100647,584.79
TXFB-100648,544.73
TXFB-100649,888.21
TXFB-100650,1254.99
TXFB-100651,1777.3814153882477
TXFB-100652,1962.32
TXFB-100653,914.08
TXFB-100654,2520.17
TXFB-100655,2288.41
TXFB-100656,1383.39
TXFB-100657,540.98
TXFB-100658,732.94
TXFB-100659,1675.08
TXFB-100660,961.92
TXFB-100661,1630.46
TXFB-100662,2384.55
TXFB-100663,2141.71
TXFB-100664,1193.53
TXFB-100665,1531.47
TXFB-100666,2342.09
TXFB-100667,3082.57
TXFB-100668,2759.64
TXFB-100669,2160.2
TXFB-100670,1586.88
TXFB-100671,1595.15
TXFB-100672,3095.7855536212214
TXFB-100673,617.73
TXFB-100674,3463.95
TXFB-100675,2493.13
TXFB-100676,2543.41
TXFB-100677,613.99
TXFB-100678,2316.59
TXFB-100679,1954.33
TXFB-100680,817.34
TXFB-100681,1333.77
TXFB-100682,3170.94
TXFB-100683,2149.97
TXFB-100684,1740.25
TXFB-100685,718.05
TXFB-100686,2642.36
TXFB-100687,2608.55
TXFB-100688,2342.13
TXFB-100689,2030.79
TXFB-100690,1801.35
TXFB-100691,2279.81
TXFB-100692,1200.19
TXFB-100693,3323.78
TXFB-100694,2266.38
TXFB-100695,1433.58
TXFB-100696,1849.04
TXFB-100697,2917.05
TXFB-100698,984.85
TXFB-100699,1378.51
TXFB-100700,2538.52
TXFB-100701,1446.47
TXFB-100702,2877.51
TXFB-100703,891.36
TXFB-100704,2788.06
TXFB-100705,705.06
TXFB-100706,537.78
TXFB-100707,3194.67
TXFB-100708,2244.02
TXFB-100709,1555.48
TXFB-100710,1133.324877392236
TXFB-100711,2350.66
TXFB-100712,2027.01
TXFB-100713,3474.79
TXFB-100714,3449.65
TXFB-100715,2405.07
TXFB-100716,1828.61
TXFB-100717,1973.42
TXFB-100718,2547.44
TXFB-100719,804.72
TXFB-100720,1485.06
TXFB-100721,725.82
TXFB-100722,720.08
TXFB-100723,1087.52
TXFB-100724,1955.76
TXFB-100725,2854.32
TXFB-100726,1956.49
TXFB-100727,1506.43
TXFB-100728,747.06
TXFB-100729,2150.89
TXFB-100730,1313.81
TXFB-100731,2344.8
TXFB-100732,3431.56
TXFB-100733,833.94
TXFB-100734,1136.38
TXFB-100735,1919.28
TXFB-100736,3405.84
TXFB-100737,2815.43
TXFB-100738,3194.69
TXFB-100739,1501.14
TXFB-100740,3476.12
TXFB-100741,808.5
TXFB-100742,658.92
TXFB-100743,3066.81
TXFB-100744,3281.79
TXFB-100745,771.76
TXFB-100746,840.28
TXFB-100747,599.52
TXFB-100748,813.52
TXFB-100749,1128.26
TXFB-100750,3410.23
TXFB-100751,2503.58
TXFB-100752,2835.66
TXFB-100753,2828.42
TXFB-100754,2105.22
TXFB-100755,2892.47
TXFB-100756,2287.42
TXFB-100757,1443.64
TXFB-100758,2183.33
TXFB-100759,2100.53
TXFB-100760,2970.36
TXFB-100761,3445.18
TXFB-100762,1733.13
TXFB-100763,2790.17
TXFB-100764,799.29
TXFB-100765,2830.49
TXFB-100766,1614.25
TXFB-100767,618.17
TXFB-100768,1589.74
TXFB-100769,2331.93
TXFB-100770,857.75
TXFB-100771,3272.1
TXFB-100772,733.02
TXFB-100773,3290.02
TXFB-100774,2621.41
TXFB-100775,1489.14
TXFB-100776,1672.25
TXFB-100777,2722.43
TXFB-100778,2304.41
TXFB-100779,2514.93
TXFB-100780,1667.49
TXFB-100781,1963.44
TXFB-100782,3469.6
TXFB-100783,1141.77
TXFB-100784,1753.57
TXFB-100785,1375.47
TXFB-100786,2795.33
TXFB-100787,2792.04
TXFB-100788,1377.34
TXFB-100789,684.4361218532098
TXFB-100790,534.3
TXFB-100791,1782.35
TXFB-100792,1731.01
TXFB-100793,3465.17
TXFB-100794,1909.41
TXFB-100795,1269.26
TXFB-100796,3173.69
TXFB-100797,1973.2
TXFB-100798,2227.0958534855654
TXFB-100799,787.01
TXFB-100800,1648.75
TXFB-100801,3332.67
TXFB-100802,2268.52
TXFB-100803,1533.51
TXFB-100804,2377.0
TXFB-100805,3231.23
TXFB-100806,1321.97
TXFB-100807,2015.35
TXFB-100808,3376.07
TXFB-100809,1017.19
TXFB-100810,2658.99
TXFB-100811,2343.44
TXFB-100812,2539.03
TXFB-100813,1553.66
TXFB-100814,1441.64
TXFB-100815,2552.63
TXFB-100816,1146.63
TXFB-100817,1758.96
TXFB-100818,1064.52
TXFB-100819,524.91
TXFB-100820,3410.17
TXFB-100821,1795.11
TXFB-100822,3408.05
TXFB-100823,920.97
TXFB-100824,2262.1
TXFB-100825,1102.92
TXFB-100826,2870.22
TXFB-100827,2851.11
TXFB-100828,837.82
TXFB-100829,3236.19
TXFB-100830,1083.89
TXFB-100831,2338.93
TXFB-100832,3456.9
TXFB-100833,3147.19
TXFB-100834,3369.69
TXFB-100835,1527.8
TXFB-100836,816.73
TXFB-100837,1065.04
TXFB-100838,2001.48
TXFB-100839,2879.69
TXFB-100840,950.46
TXFB-100841,2479.19
TXFB-100842,1470.73
TXFB-100843,1523.61
TXFB-100844,2485.75
TXFB-100845,1901.0
TXFB-100846,2936.1
TXFB-100847,967.76
TXFB-100848,2869.84
TXFB-100849,692.71
TXFB-100850,1082.16
TXFB-100851,2468.45
TXFB-100852,3064.78
TXFB-100853,1258.04
TXFB-100854,1481.57
TXFB-100855,2111.36
TXFB-100856,1134.72
TXFB-100857,2933.47
TXFB-100858,2820.91
TXFB-100859,935.88
TXFB-100860,1891.49
TXFB-100861,2824.48
TXFB-100862,1511.99
TXFB-100863,2399.32
TXFB-100864,650.64
TXFB-100865,2326.07
TXFB-100866,957.96
TXFB-100867,2991.75
TXFB-100868,1566.35
TXFB-100869,1344.66
TXFB-100870,3022.67
TXFB-100871,650.43
TXFB-100872,1689.83
TXFB-100873,1610.01
TXFB-100874,1354.4
TXFB-100875,3235.26
TXFB-100876,2725.898464411452
TXFB-100877,691.77
TXFB-100878,2644.06
TXFB-100879,2081.9
TXFB-100880,3202.6
TXFB-100881,1438.84
TXFB-100882,2222.49
TXFB-100883,2002.27
TXFB-100884,1968.68
TXFB-100885,1868.32
TXFB-100886,1116.89
TXFB-100887,2738.8815688341824
TXFB-100888,1854.01
TXFB-100889,3375.55
TXFB-100890,1282.43
TXFB-100891,2548.23
TXFB-100892,3322.15
TXFB-100893,2490.37
TXFB-100894,3113.82
TXFB-100895,2982.44
TXFB-100896,1580.35
TXFB-100897,2300.37
TXFB-100898,968.78
TXFB-100899,2074.8986368261208
TXFB-100900,1191.27
TXFB-100901,2731.21
TXFB-100902,2084.18
TXFB-100903,1733.68
TXFB-100904,1306.39
TXFB-100905,3496.1
TXFB-100906,715.13
TXFB-100907,630.68
TXFB-100908,1151.77
TXFB-100909,3413.22
TXFB-100910,3437.71
TXFB-100911,2464.78
TXFB-100912,3140.32
TXFB-100913,1141.89
TXFB-100914,3416.13
TXFB-100915,928.35
TXFB-100916,803.38
TXFB-100917,836.63
TXFB-100918,2219.38
TXFB-100919,2842.92
TXFB-100920,1600.0
TXFB-100921,3433.69
TXFB-100922,1803.26
TXFB-100923,951.35
TXFB-100924,1897.9
TXFB-100925,2537.11
TXFB-100926,2948.424463305992
TXFB-100927,1876.3
TXFB-100928,2280.82
TXFB-100929,1302.03
TXFB-100930,2437.75
TXFB-100931,3457.92
TXFB-100932,647.16
TXFB-100933,3159.59
TXFB-100934,2186.85
TXFB-100935,1256.3
TXFB-100936,3364.67
TXFB-100937,1950.06
TXFB-100938,1495.07
TXFB-100939,1044.49
TXFB-100940,1233.36
TXFB-100941,2998.55
TXFB-100942,2343.23
TXFB-100943,3239.74
TXFB-100944,1195.91
TXFB-100945,863.42
TXFB-100946,518.26
TXFB-100947,2023.59
TXFB-100948,3494.92
TXFB-100949,2584.9
TXFB-100950,1425.18
TXFB-100951,3130.58
TXFB-100952,2845.17
TXFB-100953,546.25
TXFB-100954,2950.58
TXFB-100955,1401.58
TXFB-100956,907.8066019006619
TXFB-100957,1178.99
TXFB-100958,1905.74
TXFB-100959,1774.6
TXFB-100960,1366.66
TXFB-100961,1016.65
TXFB-100962,2786.69
TXFB-100963,3470.33
TXFB-100964,2833.37
TXFB-100965,1387.81
TXFB-100966,1234.43
TXFB-100967,1153.0
TXFB-100968,910.09
TXFB-100969,2153.99
TXFB-100970,2316.2
TXFB-100971,2616.51
TXFB-100972,2540.64
TXFB-100973,1377.0
TXFB-100974,1490.93
TXFB-100975,2544.54
TXFB-100976,1548.34
TXFB-100977,1137.87
TXFB-100978,1623.01
TXFB-100979,1316.25
TXFB-100980,764.94
TXFB-100981,2990.42
TXFB-100982,3059.33
TXFB-100983,1159.25
TXFB-100984,694.32
TXFB-100985,2716.48
TXFB-100986,1134.59
TXFB-100987,1680.31
TXFB-100988,692.41
TXFB-100989,1178.81
TXFB-100990,2878.71
TXFB-100991,2913.19
TXFB-100992,1121.25
TXFB-100993,1507.74
TXFB-100994,902.72
TXFB-100995,722.52
TXFB-100996,3476.52
TXFB-100997,2466.78
TXFB-100998,2126.29
TXFB-100999,2796.5
TXFB-101000,3020.23
TXFB-101001,2920.14
TXFB-101002,549.62
TXFB-101003,1060.42
TXFB-101004,2464.72
TXFB-101005,1627.28
TXFB-101006,3447.45
TXFB-101007,2496.21
TXFB-101008,3369.65
TXFB-101009,1104.34
TXFB-101010,3091.87
TXFB-101011,1464.06
TXFB-101012,3468.69
TXFB-101013,973.07
TXFB-101014,2049.02
TXFB-101015,2878.53
TXFB-101016,1797.93
TXFB-101017,1904.25
TXFB-101018,3459.07
TXFB-101019,1775.92
TXFB-101020,2312.22
TXFB-101021,663.62
TXFB-101022,3026.63
TXFB-101023,2444.5
TXFB-101024,1712.06
TXFB-101025,548.51
TXFB-101026,2275.01
TXFB-101027,537.97
TXFB-101028,503.61
TXFB-101029,2348.3
TXFB-101030,1067.05
TXFB-101031,1075.66
TXFB-101032,2459.81
TXFB-101033,661.09
TXFB-101034,1440.22
TXFB-101035,948.3
TXFB-101036,2240.53
TXFB-101037,2485.3
TXFB-101038,2663.41
TXFB-101039,1265.69
TXFB-101040,767.75
TXFB-101041,736.05
TXFB-101042,1778.45
TXFB-101043,3337.53
TXFB-101044,1153.19
TXFB-101045,1270.22
TXFB-101046,802.67
TXFB-101047,2316.71
TXFB-101048,2539.62
TXFB-101049,2428.79
TXFB-101050,3083.39
TXFB-101051,1959.28
TXFB-101052,833.147477603306
TXFB-101053,1368.22
TXFB-101054,2487.29
TXFB-101055,2339.37
TXFB-101056,2093.01
TXFB-101057,2548.89
TXFB-101058,2412.17
TXFB-101059,3143.97
TXFB-101060,2258.05
TXFB-101061,2835.8
TXFB-101062,1246.12
TXFB-101063,2534.55
TXFB-101064,3206.58
TXFB-101065,1657.2
TXFB-101066,2837.31
TXFB-101067,2674.37
TXFB-101068,678.58
TXFB-101069,2244.52
TXFB-101070,890.57
TXFB-101071,3401.96
TXFB-101072,2934.22
TXFB-101073,829.17
TXFB-101074,865.26
TXFB-101075,2283.42
TXFB-101076,1534.67
TXFB-101077,604.72
TXFB-101078,2124.92
TXFB-101079,1663.54
TXFB-101080,803.23
TXFB-101081,2905.76
