Location_ID,LocationNumber,BranchID,AddressLine1,State,County,Latitude,Longitude
L_36,1,B_36,6941 Main St,TX,Travis,32.9635,-97.3461
L_37,2,B_37,1673 Main St,TX,Dallas,35.715,-100.8645
L_38,1,B_38,920 Main St,TX,Travis,30.6914,-95.5751
L_39,3,B_39,3647 Main St,TX,Travis,26.987,-105.2128
L_40,3,B_40,9928 Main St,TX,Dallas,32.3331,-96.3538
L_41,3,B_41,2537 Main St,TX,Galveston,34.6126,-106.0502
L_42,3,B_42,8055 Main St,TX,Galveston,,
L_43,3,B_43,8512 Main St,TX,Travis,32.5402,-95.1916
L_44,2,B_44,8692 Main St,TX,Cameron,27.4802,-102.7732
L_45,1,B_45,8305 Main St,TX,Travis,30.5242,-99.9728
L_46,3,B_46,9230 Main St,TX,Harris,26.8624,-98.1231
L_47,3,B_47,1708 Main St,TX,Cameron,27.2742,-95.4834
L_48,3,B_48,8913 Main St,TX,Galveston,30.2485,-96.5257
L_49,2,B_49,9830 Main St,TX,Dallas,28.4249,-96.0002
L_50,3,B_50,3493 Main St,TX,Nueces,31.2037,-105.4834
L_51,1,B_51,726 Main St,TX,Nueces,33.8768,-101.8756
L_52,1,B_52,4704 Main St,TX,Travis,32.9154,-104.6139
L_53,2,B_53,6501 Main St,TX,Travis,33.8625,-101.0754
L_54,1,B_54,1977 Main St,TX,Nueces,34.3789,-101.1843
L_55,3,B_55,6422 Main St,TX,Harris,30.7087,-95.4337
L_56,2,B_56,4082 Main St,TX,Harris,29.671,-106.2101
L_57,2,B_57,9190 Main St,TX,Harris,,
L_58,3,B_58,8668 Main St,TX,McLennan,25.9065,-96.0382
L_59,1,B_59,1965 Main St,TX,Dallas,35.897,-105.4894
L_60,2,B_60,6778 Main St,TX,McLennan,29.1684,-93.7365
L_61,1,B_61,8427 Main St,TX,Travis,27.5583,-105.7948
L_62,2,B_62,7851 Main St,TX,Harris,32.8639,-98.1968
L_63,2,B_63,8876 Main St,TX,Harris,26.4186,-98.3259
L_64,1,B_64,5872 Main St,TX,Nueces,32.8659,-99.7909
L_65,1,B_65,1551 Main St,TX,Nueces,30.1014,-97.6806
L_66,3,B_66,8741 Main St,TX,Cameron,29.0563,-96.8707
L_67,2,B_67,5887 Main St,TX,Harris,25.8846,-102.9349
L_68,3,B_68,6988 Main St,TX,Galveston,35.6488,-97.4261
L_69,3,B_69,9862 Main St,TX,Nueces,27.9949,-99.468
L_70,2,B_70,849 Main St,TX,Dallas,34.2353,-98.0583
L_71,1,B_71,5842 Main St,TX,McLennan,33.2629,-94.9715
L_72,3,B_72,676 Main St,TX,Dallas,34.1627,-101.301
L_73,3,B_73,9786 Main St,TX,Nueces,29.0264,-106.1157
L_74,3,B_74,6355 Main St,TX,Harris,33.5586,-96.9053
L_75,1,B_75,5573 Main St,TX,Travis,27.1483,-93.6058
L_76,2,B_76,6657 Main St,TX,Galveston,26.7932,-99.3716
L_77,2,B_77,9222 Main St,TX,Nueces,33.9004,-104.5036
L_78,1,B_78,8886 Main St,TX,Dallas,26.0984,-96.1646
L_79,3,B_79,2726 Main St,TX,Travis,32.1398,-103.4384
L_80,2,B_80,6329 Main St,TX,Nueces,33.5736,-93.6709
L_81,2,B_81,7941 Main St,TX,Harris,,
L_82,3,B_82,2985 Main St,TX,Cameron,,
L_83,2,B_83,8685 Main St,TX,Harris,32.5088,-101.9564
L_84,3,B_84,661 Main St,TX,Harris,,
L_85,3,B_85,297 Main St,TX,Harris,27.1348,-102.6967
L_86,2,B_86,7950 Main St,TX,Nueces,30.6487,-93.7233
L_87,1,B_87,2657 Main St,TX,Cameron,36.3823,-99.1907
L_88,3,B_88,8099 Main St,TX,Galveston,32.5169,-99.6139
L_89,3,B_89,2665 Main St,TX,Galveston,29.5486,-102.8726
L_90,1,B_90,129 Main St,TX,Dallas,34.1972,-97.2354
L_91,2,B_91,9176 Main St,TX,Nueces,33.4436,-99.7924
L_92,1,B_92,1939 Main St,TX,Cameron,29.308,-98.971
L_93,2,B_93,4857 Main St,TX,Cameron,29.6656,-105.3164
L_94,3,B_94,7430 Main St,TX,Harris,34.6643,-105.5265
L_95,3,B_95,2628 Main St,TX,Galveston,,
L_96,1,B_96,3264 Main St,TX,Nueces,30.8959,-100.7553
L_97,2,B_97,7605 Main St,TX,Travis,29.7514,-99.7061
L_98,3,B_98,3553 Main St,TX,Galveston,31.3527,-101.4283
L_99,2,B_99,5862 Main St,TX,Galveston,31.1375,-101.0532
L_100,3,B_100,6980 Main St,TX,Cameron,35.7621,-100.187
L_101,3,B_101,4732 Main St,TX,Dallas,36.214,-95.8081
L_102,1,B_102,390 Main St,TX,Galveston,,
L_103,3,B_103,7736 Main St,TX,Travis,27.1602,-97.2839
L_104,3,B_104,8550 Main St,TX,Harris,,
L_105,3,B_105,3758 Main St,TX,McLennan,33.3384,-95.2911
L_106,3,B_106,571 Main St,TX,Dallas,27.0632,-103.8144
L_107,1,B_107,8840 Main St,TX,Travis,30.8649,-96.8209
L_108,2,B_108,3736 Main St,TX,Dallas,35.9015,-101.7618
L_109,1,B_109,914 Main St,TX,Nueces,32.2371,-101.2471
L_110,2,B_110,6659 Main St,TX,Harris,,
L_111,1,B_111,9990 Main St,TX,Galveston,26.231,-104.5917
L_112,3,B_112,7365 Main St,TX,Nueces,36.4039,-102.6273
L_113,3,B_113,8626 Main St,TX,Galveston,34.2659,-104.738
L_114,1,B_114,9904 Main St,TX,Cameron,26.3206,-94.8853
L_115,1,B_115,9668 Main St,TX,Travis,35.3129,-103.7759
L_116,2,B_116,9433 Main St,TX,Harris,31.0301,-104.9975
L_117,3,B_117,6182 Main St,TX,McLennan,29.5305,-95.1974
L_118,3,B_118,1791 Main St,TX,McLennan,30.2681,-99.0929
L_119,1,B_119,4282 Main St,TX,Galveston,35.4331,-96.3643
L_120,3,B_120,5779 Main St,TX,Nueces,33.5044,-98.6652
L_121,2,B_121,4753 Main St,TX,Cameron,31.201,-100.5617
L_122,1,B_122,9088 Main St,TX,Harris,30.6051,-95.2509
L_123,1,B_123,3449 Main St,TX,Harris,34.358,-97.895
L_124,1,B_124,6844 Main St,TX,Travis,30.183,-103.55
L_125,1,B_125,7660 Main St,TX,Nueces,31.5886,-94.0492
L_126,2,B_126,1401 Main St,TX,McLennan,35.3235,-96.9595
L_127,1,B_127,4363 Main St,TX,Travis,32.7113,-95.256
L_128,2,B_128,6449 Main St,TX,Dallas,33.3671,-99.1069
L_129,1,B_129,7977 Main St,TX,Harris,33.3692,-99.2503
L_130,2,B_130,4416 Main St,TX,McLennan,27.1245,-99.2725
L_131,1,B_131,9345 Main St,TX,Travis,27.859,-98.495
L_132,2,B_132,678 Main St,TX,Galveston,26.3658,-99.1298
L_133,3,B_133,7223 Main St,TX,Dallas,27.8265,-100.3666
L_134,1,B_134,6308 Main St,TX,Travis,35.3964,-105.0243
L_135,1,B_135,8731 Main St,TX,Galveston,27.7233,-106.3514
L_136,1,B_136,8539 Main St,TX,McLennan,34.2183,-103.3867
L_137,2,B_137,6946 Main St,TX,McLennan,33.3501,-94.9717
L_138,3,B_138,7463 Main St,TX,Dallas,30.5533,-96.0293
L_139,3,B_139,6204 Main St,TX,Galveston,30.0992,-106.0107
L_140,2,B_140,1220 Main St,TX,Harris,26.0489,-100.8751
L_141,2,B_141,9294 Main St,TX,Cameron,34.9982,-102.4423
L_142,3,B_142,5631 Main St,TX,Cameron,27.0267,-105.2987
L_143,3,B_143,8151 Main St,TX,McLennan,27.5993,-104.7132
L_144,1,B_144,1754 Main St,TX,Nueces,26.759,-102.581
L_145,3,B_145,1476 Main St,TX,Harris,27.6103,-98.5504
L_146,1,B_146,7062 Main St,TX,Harris,26.0907,-105.8336
L_147,2,B_147,5086 Main St,TX,Cameron,29.2244,-101.192
L_148,3,B_148,5905 Main St,TX,Travis,29.2691,-101.6808
L_149,2,B_149,7163 Main St,TX,Travis,34.6568,-105.0153
L_150,3,B_150,844 Main St,TX,McLennan,27.9674,-96.747
L_151,1,B_151,5852 Main St,TX,Harris,31.0749,-96.7437
L_152,1,B_152,6087 Main St,TX,Travis,29.92,-105.0924
L_153,1,B_153,6689 Main St,TX,Galveston,,
L_154,1,B_154,3495 Main St,TX,Galveston,30.1557,-100.2574
L_155,2,B_155,5075 Main St,TX,Galveston,28.301,-94.9914
L_156,2,B_156,4178 Main St,TX,Galveston,36.1092,-97.7562
L_157,1,B_157,1564 Main St,TX,Harris,31.7354,-96.3137
L_158,3,B_158,8353 Main St,TX,Galveston,30.1522,-105.5008
L_159,2,B_159,899 Main St,TX,Harris,27.977,-93.9204
L_160,2,B_160,7290 Main St,TX,Cameron,36.3428,-96.3555
L_161,2,B_161,3532 Main St,TX,McLennan,31.5516,-101.0488
L_162,1,B_162,9743 Main St,TX,McLennan,35.553,-100.6822
L_163,2,B_163,2501 Main St,TX,Galveston,,
L_164,3,B_164,366 Main St,TX,Galveston,34.6743,-102.8108
L_165,2,B_165,630 Main St,TX,Galveston,25.8058,-94.3711
L_166,1,B_166,2306 Main St,TX,McLennan,30.9594,-98.7679
L_167,3,B_167,5826 Main St,TX,Travis,34.7825,-101.62
L_168,3,B_168,8771 Main St,TX,McLennan,29.5602,-98.3181
L_169,3,B_169,5770 Main St,TX,Galveston,31.2605,-106.0042
L_170,1,B_170,7120 Main St,TX,Travis,33.7093,-99.2236
L_171,2,B_171,5527 Main St,TX,Travis,29.0168,-101.4215
L_172,3,B_172,3604 Main St,TX,Dallas,27.1159,-104.7706
L_173,2,B_173,4035 Main St,TX,Cameron,28.7902,-100.9413
L_174,2,B_174,7795 Main St,TX,Harris,36.0444,-102.4302
L_175,2,B_175,7912 Main St,TX,Cameron,29.4662,-103.1762
L_176,1,B_176,7998 Main St,TX,Galveston,30.6441,-103.3783
L_177,1,B_177,4064 Main St,TX,Harris,29.4554,-100.5766
L_178,3,B_178,401 Main St,TX,Dallas,32.2148,-106.392
L_179,1,B_179,3377 Main St,TX,Harris,32.7169,-106.5732
L_180,2,B_180,1728 Main St,TX,Galveston,35.4455,-97.7875
L_181,1,B_181,6301 Main St,TX,Dallas,30.2208,-94.872
L_182,3,B_182,8212 Main St,TX,Harris,33.9584,-99.5505
L_183,3,B_183,9229 Main St,TX,McLennan,34.2242,-98.0968
L_184,3,B_184,7981 Main St,TX,Travis,26.6295,-106.1946
L_185,3,B_185,1873 Main St,TX,Cameron,32.9863,-97.7936
L_186,2,B_186,9797 Main St,TX,Dallas,29.577,-95.9526
L_187,1,B_187,2735 Main St,TX,McLennan,34.6539,-101.9106
L_188,1,B_188,6910 Main St,TX,Galveston,34.0172,-97.4689
L_189,2,B_189,1865 Main St,TX,Travis,25.8902,-100.5387
L_190,3,B_190,6181 Main St,TX,Cameron,30.557,-103.6981
L_191,2,B_191,4739 Main St,TX,Dallas,26.0117,-102.9171
L_192,3,B_192,9070 Main St,TX,Travis,35.659,-101.9125
L_193,3,B_193,7972 Main St,TX,Nueces,,
L_194,1,B_194,2618 Main St,TX,Nueces,29.044,-97.1967
L_195,3,B_195,306 Main St,TX,Dallas,28.3066,-100.1311
L_196,1,B_196,1795 Main St,TX,Dallas,29.6841,-102.9221
L_197,1,B_197,2452 Main St,TX,Harris,33.3646,-103.861
L_198,3,B_198,4402 Main St,TX,Travis,27.8981,-95.8433
L_199,2,B_199,1043 Main St,TX,Nueces,35.1081,-99.1448
L_200,3,B_200,2369 Main St,TX,Cameron,31.7041,-97.9561
L_201,2,B_201,6243 Main St,TX,Nueces,33.1015,-99.1967
L_202,3,B_202,4852 Main St,TX,Travis,26.4994,-104.92
L_203,2,B_203,5621 Main St,TX,Nueces,,
L_204,3,B_204,5363 Main St,TX,Cameron,31.898,-103.6137
L_205,2,B_205,489 Main St,TX,McLennan,31.397,-96.3525
L_206,1,B_206,1047 Main St,TX,Nueces,33.0544,-93.6054
L_207,3,B_207,5704 Main St,TX,Nueces,31.5025,-103.2867
L_208,2,B_208,4946 Main St,TX,Galveston,30.657,-94.3136
L_209,2,B_209,9764 Main St,TX,McLennan,32.6583,-94.2457
L_210,3,B_210,613 Main St,TX,Harris,,
L_211,1,B_211,8411 Main St,TX,Dallas,35.8447,-100.9336
L_212,2,B_212,697 Main St,TX,Cameron,28.7322,-97.6897
L_213,3,B_213,9333 Main St,TX,Nueces,29.6677,-96.6568
L_214,3,B_214,9703 Main St,TX,Cameron,28.2027,-102.9591
L_215,1,B_215,9120 Main St,TX,Harris,30.6028,-106.5324
L_216,1,B_216,3520 Main St,TX,Harris,26.6754,-99.1092
L_217,2,B_217,9406 Main St,TX,McLennan,26.0715,-96.9395
L_218,1,B_218,8226 Main St,TX,Cameron,30.3349,-105.6248
L_219,3,B_219,6677 Main St,TX,Dallas,28.4748,-104.4453
L_220,1,B_220,7607 Main St,TX,Galveston,32.4981,-105.3329
L_221,1,B_221,3981 Main St,TX,Harris,34.4462,-98.8378
L_222,1,B_222,8626 Main St,TX,Galveston,29.377,-103.3196
L_223,2,B_223,8455 Main St,TX,Dallas,26.9539,-103.4775
L_224,1,B_224,7936 Main St,TX,Dallas,29.4466,-105.8869
L_225,1,B_225,2313 Main St,TX,McLennan,29.3694,-96.1971
L_226,2,B_226,5176 Main St,TX,Cameron,34.1005,-98.4837
L_227,3,B_227,6285 Main St,TX,Travis,33.9759,-98.4079
L_228,1,B_228,1695 Main St,TX,Cameron,26.7152,-105.805
L_229,1,B_229,6518 Main St,TX,Nueces,,
L_230,2,B_230,3615 Main St,TX,McLennan,29.1521,-95.4952
L_231,3,B_231,316 Main St,TX,Cameron,,
L_232,1,B_232,3412 Main St,TX,Galveston,,
L_233,3,B_233,4721 Main St,TX,Cameron,30.5285,-102.6507
L_234,3,B_234,4175 Main St,TX,McLennan,32.5002,-105.7381
L_235,2,B_235,8720 Main St,TX,Dallas,33.0499,-99.2737
L_236,3,B_236,3700 Main St,TX,Harris,29.8816,-105.3446
L_237,3,B_237,1073 Main St,TX,Nueces,28.2943,-98.7456
L_238,1,B_238,550 Main St,TX,Nueces,25.9135,-101.5706
L_239,1,B_239,590 Main St,TX,Travis,34.3083,-95.0728
L_240,1,B_240,9607 Main St,TX,Dallas,32.4258,-102.151
L_241,1,B_241,1402 Main St,TX,Nueces,34.1773,-100.6516
L_242,1,B_242,4868 Main St,TX,Nueces,27.8596,-105.2548
L_243,2,B_243,3760 Main St,TX,Harris,26.5227,-96.2586
L_244,2,B_244,5226 Main St,TX,Galveston,31.9334,-98.2505
L_245,1,B_245,2678 Main St,TX,Galveston,30.3048,-97.1074
L_246,2,B_246,5133 Main St,TX,Galveston,28.4017,-96.159
L_247,3,B_247,3803 Main St,TX,McLennan,26.4473,-102.5172
L_248,2,B_248,390 Main St,TX,Galveston,36.0692,-96.7177
L_249,2,B_249,8156 Main St,TX,Galveston,35.2719,-96.441
L_250,3,B_250,4654 Main St,TX,McLennan,27.3773,-102.5564
L_251,1,B_251,1842 Main St,TX,Harris,29.7465,-106.4941
L_252,3,B_252,7270 Main St,TX,Dallas,32.0749,-97.7143
L_253,2,B_253,9408 Main St,TX,Nueces,,
L_254,3,B_254,9379 Main St,TX,Travis,31.2261,-95.6592
L_255,1,B_255,6862 Main St,TX,Nueces,30.3161,-104.0402
L_256,2,B_256,5246 Main St,TX,Galveston,35.521,-96.313
L_257,1,B_257,4547 Main St,TX,Galveston,32.9461,-97.4984
L_258,3,B_258,6871 Main St,TX,Cameron,32.2175,-102.262
L_259,3,B_259,6448 Main St,TX,Nueces,36.1048,-98.529
L_260,3,B_260,2600 Main St,TX,Nueces,27.5364,-100.6486
L_261,2,B_261,8488 Main St,TX,Cameron,26.2515,-103.7258
L_262,1,B_262,8235 Main St,TX,Galveston,,
L_263,3,B_263,3289 Main St,TX,McLennan,28.1864,-103.5834
L_264,1,B_264,5985 Main St,TX,McLennan,32.4759,-103.4689
L_265,1,B_265,1734 Main St,TX,McLennan,33.6601,-94.1211
L_266,2,B_266,8650 Main St,TX,Travis,29.3472,-96.9049
L_267,2,B_267,6286 Main St,TX,Dallas,27.9969,-104.1864
L_268,3,B_268,2668 Main St,TX,Galveston,29.6821,-105.6341
L_269,1,B_269,2480 Main St,TX,Harris,,
L_270,1,B_270,5618 Main St,TX,Nueces,,
L_271,1,B_271,2642 Main St,TX,Nueces,27.8801,-98.9275
L_272,2,B_272,7511 Main St,TX,Galveston,26.2698,-106.2111
L_273,3,B_273,5462 Main St,TX,Galveston,27.6634,-95.0015
L_274,1,B_274,6722 Main St,TX,Galveston,29.436,-99.336
L_275,1,B_275,1012 Main St,TX,Nueces,26.03,-95.5583
L_276,2,B_276,168 Main St,TX,Cameron,26.0246,-97.7254
L_277,1,B_277,2818 Main St,TX,Galveston,34.2253,-105.1463
L_278,2,B_278,2187 Main St,TX,Nueces,29.0643,-103.454
L_279,3,B_279,4192 Main St,TX,Dallas,34.4615,-97.9421
L_280,3,B_280,712 Main St,TX,Harris,36.255,-93.5302
L_281,3,B_281,2224 Main St,TX,McLennan,35.2338,-95.0931
L_282,3,B_282,3777 Main St,TX,Cameron,,
L_283,3,B_283,4801 Main St,TX,Harris,,
L_284,3,B_284,738 Main St,TX,Galveston,34.3054,-104.089
L_285,1,B_285,6199 Main St,TX,Harris,29.8045,-98.7459
L_286,1,B_286,6362 Main St,TX,Galveston,28.4167,-105.9948
L_287,1,B_287,7769 Main St,TX,Harris,27.8234,-99.5854
L_288,2,B_288,7499 Main St,TX,Travis,34.2486,-102.3074
L_289,3,B_289,1772 Main St,TX,Harris,,
L_290,1,B_290,3122 Main St,TX,McLennan,34.313,-95.1656
L_291,1,B_291,5988 Main St,TX,McLennan,34.9111,-93.9142
L_292,1,B_292,1391 Main St,TX,Cameron,28.0388,-105.5336
L_293,3,B_293,6145 Main St,TX,Harris,32.8995,-105.7502
L_294,3,B_294,8597 Main St,TX,Nueces,33.839,-98.1496
L_295,2,B_295,9338 Main St,TX,Nueces,31.1349,-100.5181
L_296,2,B_296,812 Main St,TX,Nueces,29.8005,-97.5019
L_297,1,B_297,4399 Main St,TX,Harris,31.0943,-103.0848
L_298,2,B_298,1775 Main St,TX,Nueces,35.6567,-98.9498
L_299,3,B_299,8563 Main St,TX,Dallas,26.1917,-103.7242
L_300,1,B_300,2819 Main St,TX,Harris,35.0359,-101.4137
L_301,3,B_301,8404 Main St,TX,McLennan,29.0742,-94.9579
L_302,1,B_302,296 Main St,TX,Cameron,35.8098,-101.6992
L_303,3,B_303,5618 Main St,TX,Nueces,27.2373,-105.4992
L_304,3,B_304,1237 Main St,TX,Travis,30.5562,-101.9944
L_305,1,B_305,6863 Main St,TX,Nueces,30.7782,-98.4633
L_306,1,B_306,6695 Main St,TX,McLennan,30.3593,-100.4751
L_307,2,B_307,7167 Main St,TX,Dallas,30.1758,-96.061
L_308,1,B_308,811 Main St,TX,Harris,29.8914,-104.2477
L_309,1,B_309,8984 Main St,TX,Nueces,32.7053,-101.8959
L_310,1,B_310,1980 Main St,TX,Travis,26.6819,-95.5619
L_311,2,B_311,3044 Main St,TX,Cameron,32.6871,-96.3051
L_312,3,B_312,3663 Main St,TX,McLennan,35.7147,-105.3108
L_313,3,B_313,9588 Main St,TX,Cameron,,
L_314,2,B_314,2182 Main St,TX,Cameron,,
L_315,2,B_315,8092 Main St,TX,Travis,27.9433,-104.0239
L_316,3,B_316,8737 Main St,TX,Galveston,29.0391,-95.9161
L_317,2,B_317,9165 Main St,TX,McLennan,33.1139,-103.0045
L_318,1,B_318,4915 Main St,TX,Galveston,36.4786,-93.5209
L_319,1,B_319,4612 Main St,TX,Travis,33.8505,-96.9083
L_320,1,B_320,8061 Main St,TX,Harris,25.8913,-102.6769
L_321,2,B_321,651 Main St,TX,Harris,34.1795,-101.3101
L_322,1,B_322,9663 Main St,TX,Harris,32.0055,-98.0155
L_323,1,B_323,9223 Main St,TX,Cameron,31.2853,-96.6288
L_324,2,B_324,6352 Main St,TX,Galveston,,
L_325,1,B_325,3273 Main St,TX,Cameron,28.2281,-96.7863
L_326,3,B_326,6920 Main St,TX,Harris,31.3193,-96.3037
L_327,2,B_327,1458 Main St,TX,Cameron,33.5309,-100.5556
L_328,3,B_328,5447 Main St,TX,Dallas,34.2735,-102.4987
L_329,3,B_329,2402 Main St,TX,McLennan,27.81,-96.5113
L_330,1,B_330,7860 Main St,TX,McLennan,33.268,-103.8544
L_331,2,B_331,6504 Main St,TX,Cameron,31.7754,-101.6914
L_332,3,B_332,5391 Main St,TX,Travis,31.9793,-104.9187
L_333,1,B_333,9138 Main St,TX,Nueces,25.9036,-95.9837
L_334,1,B_334,4717 Main St,TX,Galveston,29.4361,-101.1092
L_335,3,B_335,5060 Main St,TX,McLennan,33.1377,-101.3159
L_336,2,B_336,5063 Main St,TX,Cameron,31.5524,-102.3284
L_337,1,B_337,2644 Main St,TX,Galveston,,
L_338,1,B_338,342 Main St,TX,Travis,34.2033,-94.5199
L_339,2,B_339,2471 Main St,TX,Harris,35.9932,-102.2737
L_340,2,B_340,2722 Main St,TX,Nueces,32.2521,-98.6373
L_341,1,B_341,4352 Main St,TX,Travis,35.0763,-93.7597
L_342,3,B_342,9198 Main St,TX,Dallas,27.985,-101.4827
L_343,1,B_343,2544 Main St,TX,Harris,27.8152,-105.1768
L_344,2,B_344,4213 Main St,TX,Harris,30.6314,-94.8789
L_345,1,B_345,8893 Main St,TX,Harris,,
L_346,1,B_346,9016 Main St,TX,Travis,26.9162,-99.3569
L_347,1,B_347,6537 Main St,TX,Dallas,26.143,-97.5738
L_348,3,B_348,3235 Main St,TX,Nueces,27.7976,-105.6897
L_349,1,B_349,1255 Main St,TX,Galveston,28.8368,-103.5472
L_350,3,B_350,4102 Main St,TX,Travis,32.8574,-105.6833
L_351,3,B_351,7661 Main St,TX,McLennan,26.4147,-99.8072
L_352,2,B_352,3945 Main St,TX,McLennan,27.6385,-95.3378
L_353,1,B_353,7669 Main St,TX,Travis,30.1962,-104.5428
L_354,1,B_354,1358 Main St,TX,Galveston,,
L_355,2,B_355,5018 Main St,TX,McLennan,31.54,-100.3349
L_356,2,B_356,6112 Main St,TX,Galveston,,
L_357,3,B_357,780 Main St,TX,Harris,35.063,-104.8979
L_358,1,B_358,3808 Main St,TX,Travis,28.0007,-100.9382
L_359,1,B_359,1307 Main St,TX,Harris,30.8801,-98.6914
L_360,3,B_360,1900 Main St,TX,McLennan,35.849,-98.9039
L_361,3,B_361,8832 Main St,TX,Galveston,33.1277,-102.9917
L_362,3,B_362,617 Main St,TX,Harris,,
L_363,1,B_363,2598 Main St,TX,McLennan,27.3268,-105.762
L_364,2,B_364,6330 Main St,TX,Cameron,34.441,-99.7113
L_365,1,B_365,6336 Main St,TX,Dallas,35.5402,-95.082
L_366,1,B_366,9720 Main St,TX,Harris,31.9646,-96.9415
L_367,1,B_367,2095 Main St,TX,Dallas,28.8807,-95.059
L_368,3,B_368,4418 Main St,TX,Dallas,30.6825,-97.4259
L_369,2,B_369,2091 Main St,TX,Nueces,28.9827,-98.5693
L_370,3,B_370,4172 Main St,TX,McLennan,34.4668,-104.3058
L_371,2,B_371,9500 Main St,TX,Travis,28.4657,-94.8105
L_372,2,B_372,6797 Main St,TX,Galveston,30.6988,-94.6681
L_373,1,B_373,204 Main St,TX,Cameron,31.8842,-101.4445
L_374,2,B_374,6378 Main St,TX,McLennan,35.9189,-103.46
L_375,3,B_375,1497 Main St,TX,Nueces,28.7294,-98.3721
L_376,1,B_376,501 Main St,TX,Nueces,35.6044,-97.4556
L_377,3,B_377,4420 Main St,TX,Cameron,28.1246,-100.1353
L_378,1,B_378,7541 Main St,TX,Harris,31.7152,-93.5614
L_379,2,B_379,1615 Main St,TX,Galveston,,
L_380,2,B_380,8314 Main St,TX,Nueces,,
L_381,3,B_381,9403 Main St,TX,Travis,34.002,-102.3292
L_382,2,B_382,2133 Main St,TX,McLennan,30.625,-103.2888
L_383,2,B_383,1770 Main St,TX,Travis,31.2149,-100.5456
L_384,2,B_384,9605 Main St,TX,Harris,,
L_385,2,B_385,2151 Main St,TX,McLennan,33.231,-96.7785
L_386,2,B_386,5266 Main St,TX,Harris,33.7817,-95.3894
L_387,1,B_387,6299 Main St,TX,Galveston,25.9149,-105.0977
L_388,3,B_388,9918 Main St,TX,Galveston,29.3001,-96.7923
L_389,1,B_389,2443 Main St,TX,Travis,30.9869,-105.7061
L_390,1,B_390,5077 Main St,TX,Travis,31.6682,-103.426
L_391,3,B_391,8065 Main St,TX,Galveston,27.3007,-95.8524
L_392,1,B_392,6804 Main St,TX,Dallas,34.8047,-104.3653
L_393,1,B_393,9278 Main St,TX,Galveston,,
L_394,3,B_394,9147 Main St,TX,Cameron,,
L_395,2,B_395,3563 Main St,TX,McLennan,28.9473,-99.596
L_396,2,B_396,4842 Main St,TX,Cameron,26.6302,-96.597
L_397,3,B_397,1138 Main St,TX,Harris,27.4424,-101.9091
L_398,1,B_398,841 Main St,TX,Galveston,26.1686,-97.7569
L_399,3,B_399,3711 Main St,TX,Galveston,33.2551,-95.6418
