ID,PolicyNumber,Status,CancellationReasonCode,CancellationDate,IsMostRecentModel,TotalPremium,CreateTime
B_134,TXFB-100134,Bound,,,0,3154.05,2026-04-11
B_135,TXFB-100135,Draft,,,1,1458.94,2026-04-04
B_136,TXFB-100136,Bound,,,1,1643.33,2026-04-03
B_137,TXFB-100137,Bound,,,1,2341.14,2026-04-11
B_138,TXFB-100138,Canceled,,2026-04-14,0,2370.88,2026-04-10
B_139,TXFB-100139,Bound,,,1,1945.1,2026-04-10
B_140,TXFB-100140,Withdrawn,,,1,1701.97,2026-04-15
B_141,TXFB-100141,Withdrawn,,,1,3458.54,2026-04-14
B_142,TXFB-100142,Bound,,,1,2963.37,2026-04-06
B_143,TXFB-100143,Bound,,,1,1804.94,2026-04-15
B_144,TXFB-100144,Bound,,,1,2681.88,2026-04-12
B_145,TXFB-100145,Bound,,,1,1308.69,2026-04-15
B_146,TXFB-100146,Bound,,,1,800.51,2026-04-02
B_147,TXFB-100147,Bound,,,1,1557.29,2026-04-12
B_148,TXFB-100148,Bound,,,1,1708.92,2026-04-14
B_149,TXFB-100149,Bound,,,1,549.61,2026-04-09
B_150,TXFB-100150,Bound,,,1,2944.38,2026-04-02
B_151,TXFB-100151,Draft,,,1,1577.58,2026-04-03
B_152,TXFB-100152,Bound,,,1,2241.25,2026-04-13
B_153,TXFB-100153,Bound,,,1,721.89,2026-04-12
B_154,TXFB-100154,Bound,,,1,1024.99,2026-04-06
B_155,TXFB-100155,Withdrawn,,,1,3169.08,2026-04-01
B_156,TXFB-100156,Bound,,,1,2326.06,2026-04-05
B_157,TXFB-100157,Bound,,,1,3350.85,2026-04-15
B_158,TXFB-100158,Canceled,INT_05,2026-04-13,1,3496.25,2026-04-02
B_159,TXFB-100159,Bound,,,1,1615.58,2026-04-05
B_160,TXFB-100160,Canceled,INT_04,2026-04-21,1,1396.41,2026-04-03
B_161,TXFB-100161,Bound,,,1,3075.07,2026-04-08
B_162,TXFB-100162,Bound,,,0,3495.83,2026-04-12
B_163,TXFB-100163,Bound,,,1,2388.92,2026-04-12
B_164,TXFB-100164,Bound,,,1,2885.42,2026-04-13
B_165,TXFB-100165,Bound,,,1,2845.24,2026-04-02
B_166,TXFB-100166,Canceled,INT_07,2026-04-19,1,1566.02,2026-04-05
B_167,TXFB-100167,Bound,,,1,2222.81,2026-04-15
B_168,TXFB-100168,Bound,,,1,2999.17,2026-04-12
B_169,TXFB-100169,Bound,,,1,2564.34,2026-04-12
B_170,TXFB-100170,Bound,,,1,563.49,2026-04-15
B_171,TXFB-100171,Bound,,,1,1510.12,2026-04-03
B_172,TXFB-100172,Bound,,,1,933.43,2026-04-05
B_173,TXFB-100173,Bound,,,0,1198.92,2026-04-12
B_174,TXFB-100174,Bound,,,0,3216.47,2026-04-13
B_175,TXFB-100175,Bound,,,1,610.68,2026-04-11
B_176,TXFB-100176,Bound,,,1,1159.4,2026-04-09
B_177,TXFB-100177,Bound,,,1,1428.71,2026-04-08
B_178,TXFB-100178,Bound,,,0,2350.65,2026-04-04
B_179,TXFB-100179,Draft,,,1,2102.31,2026-04-01
B_180,TXFB-100180,Bound,,,1,1154.81,2026-04-06
B_181,TXFB-100181,Bound,,,1,992.72,2026-04-16
B_182,TXFB-100182,Bound,,,1,1210.39,2026-04-13
B_183,TXFB-100183,Draft,,,1,2007.59,2026-04-04
B_184,TXFB-100184,Draft,,,1,1313.53,2026-04-09
B_185,TXFB-100185,Bound,,,1,3342.81,2026-04-09
B_186,TXFB-100186,Bound,,,1,1891.6,2026-04-15
B_187,TXFB-100187,Canceled,INT_06,2026-04-23,1,676.39,2026-04-07
B_188,TXFB-100188,Bound,,,1,2687.8,2026-04-10
B_189,TXFB-100189,Bound,,,1,1486.54,2026-04-16
B_190,TXFB-100190,Bound,,,1,2460.47,2026-04-07
B_191,TXFB-100191,Bound,,,1,1338.78,2026-04-04
B_192,TXFB-100192,Draft,,,1,2212.23,2026-04-05
B_193,TXFB-100193,Draft,,,1,2816.46,2026-04-03
B_194,TXFB-100194,Bound,,,1,3284.03,2026-04-15
B_195,TXFB-100195,Bound,,,1,1283.38,2026-04-06
B_196,TXFB-100196,Bound,,,1,1504.57,2026-04-15
B_197,TXFB-100197,Canceled,INT_99,2026-04-25,1,1892.8,2026-04-03
B_198,TXFB-100198,Draft,,,0,3281.52,2026-04-11
B_199,TXFB-100199,Draft,,,1,3204.16,2026-04-12
B_200,TXFB-100200,Canceled,INT_05,2026-04-11,1,769.63,2026-04-03
B_201,TXFB-100201,Bound,,,1,895.79,2026-04-10
B_202,TXFB-100202,Bound,,,1,1986.53,2026-04-10
B_203,TXFB-100203,Bound,,,1,819.86,2026-04-06
B_204,TXFB-100204,Draft,,,1,1536.74,2026-04-06
B_205,TXFB-100205,Bound,,,1,945.16,2026-04-12
B_206,TXFB-100206,Bound,,,1,2408.12,2026-04-08
B_207,TXFB-100207,Bound,,,1,3348.49,2026-04-04
B_208,TXFB-100208,Bound,,,1,3490.2,2026-04-07
B_209,TXFB-100209,Bound,,,1,1625.72,2026-04-05
B_210,TXFB-100210,Bound,,,1,2297.04,2026-04-08
B_211,TXFB-100211,Bound,,,1,3068.8,2026-04-16
B_212,TXFB-100212,Bound,,,1,852.39,2026-04-01
B_213,TXFB-100213,Bound,,,1,2568.69,2026-04-12
B_214,TXFB-100214,Bound,,,1,1726.53,2026-04-12
B_215,TXFB-100215,Canceled,INT_02,2026-04-24,1,1118.44,2026-04-15
B_216,TXFB-100216,Bound,,,1,1708.26,2026-04-05
B_217,TXFB-100217,Bound,,,1,727.88,2026-04-03
B_218,TXFB-100218,Canceled,INT_03,2026-05-02,1,2586.22,2026-04-03
B_219,TXFB-100219,Bound,,,1,1258.23,2026-04-10
B_220,TXFB-100220,Canceled,INT_04,2026-05-09,0,1434.22,2026-04-13
B_221,TXFB-100221,Bound,,,1,863.24,2026-04-16
B_222,TXFB-100222,Bound,,,1,3093.98,2026-04-14
B_223,TXFB-100223,Bound,,,1,1980.33,2026-04-14
B_224,TXFB-100224,Bound,,,1,2216.44,2026-04-03
B_225,TXFB-100225,Bound,,,1,2208.3,2026-04-05
B_226,TXFB-100226,Bound,,,0,1731.48,2026-04-11
B_227,TXFB-100227,Withdrawn,,,1,1077.59,2026-04-03
B_228,TXFB-100228,Bound,,,1,2735.4,2026-04-15
B_229,TXFB-100229,Draft,,,1,881.17,2026-04-15
B_230,TXFB-100230,Bound,,,1,811.62,2026-04-12
B_231,TXFB-100231,Canceled,INT_99,2026-05-05,1,2630.44,2026-04-05
B_232,TXFB-100232,Bound,,,1,1126.51,2026-04-06
B_233,TXFB-100233,Bound,,,1,1420.32,2026-04-05
B_234,TXFB-100234,Bound,,,1,1925.68,2026-04-14
B_235,TXFB-100235,Bound,,,1,1848.05,2026-04-02
B_236,TXFB-100236,Canceled,INT_04,2026-04-09,0,2625.74,2026-04-04
B_237,TXFB-100237,Bound,,,1,2370.3,2026-04-05
B_238,TXFB-100238,Bound,,,1,2433.19,2026-04-10
B_239,TXFB-100239,Bound,,,0,2642.16,2026-04-06
B_240,TXFB-100240,Bound,,,1,1377.84,2026-04-06
B_241,TXFB-100241,Draft,,,1,1467.0,2026-04-11
B_242,TXFB-100242,Withdrawn,,,1,1813.99,2026-04-08
B_243,TXFB-100243,Draft,,,1,1422.39,2026-04-12
B_244,TXFB-100244,Bound,,,1,3454.81,2026-04-10
B_245,TXFB-100245,Bound,,,1,2942.16,2026-04-03
B_246,TXFB-100246,Draft,,,1,993.96,2026-04-09
B_247,TXFB-100247,Bound,,,1,516.78,2026-04-07
B_248,TXFB-100248,Withdrawn,,,1,628.35,2026-04-09
B_249,TXFB-100249,Withdrawn,,,1,1232.19,2026-04-05
B_250,TXFB-100250,Draft,,,1,842.87,2026-04-10
B_251,TXFB-100251,Bound,,,1,2100.01,2026-04-03
B_252,TXFB-100252,Bound,,,1,3073.99,2026-04-06
B_253,TXFB-100253,Draft,,,1,2710.25,2026-04-05
B_254,TXFB-100254,Bound,,,0,1146.83,2026-04-06
B_255,TXFB-100255,Bound,,,1,1697.9,2026-04-11
B_256,TXFB-100256,Bound,,,1,2023.68,2026-04-02
B_257,TXFB-100257,Draft,,,0,2930.62,2026-04-01
B_258,TXFB-100258,Bound,,,1,3017.36,2026-04-03
B_259,TXFB-100259,Bound,,,1,3229.15,2026-04-02
B_260,TXFB-100260,Bound,,,1,2027.74,2026-04-09
B_261,TXFB-100261,Bound,,,1,2582.82,2026-04-07
B_262,TXFB-100262,Withdrawn,,,1,835.4,2026-04-14
B_263,TXFB-100263,Bound,,,1,2195.87,2026-04-01
B_264,TXFB-100264,Bound,,,0,1246.08,2026-04-16
B_265,TXFB-100265,Draft,,,1,1795.15,2026-04-10
B_266,TXFB-100266,Canceled,INT_01,2026-04-22,1,2402.15,2026-04-10
B_267,TXFB-100267,Bound,,,1,1270.96,2026-04-16
B_268,TXFB-100268,Canceled,INT_01,2026-04-24,1,656.56,2026-04-08
B_269,TXFB-100269,Bound,,,1,530.7,2026-04-13
B_270,TXFB-100270,Bound,,,1,566.48,2026-04-10
B_271,TXFB-100271,Canceled,INT_07,2026-05-08,1,525.05,2026-04-15
B_272,TXFB-100272,Canceled,INT_04,2026-04-15,1,831.07,2026-04-03
B_273,TXFB-100273,Draft,,,1,1218.47,2026-04-02
B_274,TXFB-100274,Draft,,,1,1163.66,2026-04-06
B_275,TXFB-100275,Bound,,,1,3460.39,2026-04-15
B_276,TXFB-100276,Bound,,,1,1418.02,2026-04-14
B_277,TXFB-100277,Canceled,INT_06,2026-05-13,1,882.26,2026-04-16
B_278,TXFB-100278,Bound,,,1,2136.69,2026-04-15
B_279,TXFB-100279,Canceled,INT_08,2026-04-17,1,3073.87,2026-04-07
B_280,TXFB-100280,Canceled,INT_08,2026-04-12,1,2534.18,2026-04-11
B_281,TXFB-100281,Draft,,,1,1388.25,2026-04-05
B_282,TXFB-100282,Bound,,,1,2184.85,2026-04-11
B_283,TXFB-100283,Bound,,,1,2644.57,2026-04-11
B_284,TXFB-100284,Bound,,,1,2684.31,2026-04-12
B_285,TXFB-100285,Bound,,,1,2499.62,2026-04-13
B_286,TXFB-100286,Bound,,,1,3112.43,2026-04-05
B_287,TXFB-100287,Bound,,,1,3110.32,2026-04-12
B_288,TXFB-100288,Bound,,,0,2236.81,2026-04-04
B_289,TXFB-100289,Bound,,,0,1789.57,2026-04-11
B_290,TXFB-100290,Bound,,,1,2424.71,2026-04-08
B_291,TXFB-100291,Bound,,,1,2954.64,2026-04-15
B_292,TXFB-100292,Bound,,,1,516.96,2026-04-04
B_293,TXFB-100293,Canceled,INT_99,2026-04-30,0,3475.99,2026-04-09
B_294,TXFB-100294,Bound,,,0,1048.68,2026-04-15
B_295,TXFB-100295,Bound,,,1,1910.75,2026-04-08
B_296,TXFB-100296,Bound,,,1,3116.09,2026-04-05
B_297,TXFB-100297,Canceled,INT_99,2026-05-03,1,1175.12,2026-04-04
B_298,TXFB-100298,Bound,,,1,1930.39,2026-04-02
B_299,TXFB-100299,Bound,,,1,897.75,2026-04-10
B_300,TXFB-100300,Bound,,,0,1685.23,2026-04-13
B_301,TXFB-100301,Bound,,,1,1031.41,2026-04-14
B_302,TXFB-100302,Bound,,,0,1590.88,2026-04-08
B_303,TXFB-100303,Bound,,,1,1620.39,2026-04-06
B_304,TXFB-100304,Bound,,,1,3479.51,2026-04-11
B_305,TXFB-100305,Canceled,INT_05,2026-05-01,1,3484.44,2026-04-11
B_306,TXFB-100306,Withdrawn,,,1,844.36,2026-04-07
B_307,TXFB-100307,Bound,,,1,2677.91,2026-04-06
B_308,TXFB-100308,Bound,,,1,655.24,2026-04-16
B_309,TXFB-100309,Canceled,INT_07,2026-04-17,1,590.58,2026-04-15
B_310,TXFB-100310,Bound,,,1,816.0,2026-04-16
B_311,TXFB-100311,Bound,,,1,3396.46,2026-04-10
B_312,TXFB-100312,Bound,,,1,3322.59,2026-04-16
B_313,TXFB-100313,Bound,,,1,1081.78,2026-04-01
B_314,TXFB-100314,Withdrawn,,,1,985.02,2026-04-03
B_315,TXFB-100315,Canceled,INT_07,2026-05-10,1,1221.61,2026-04-13
B_316,TXFB-100316,Bound,,,1,2046.64,2026-04-15
B_317,TXFB-100317,Bound,,,1,2209.11,2026-04-08
B_318,TXFB-100318,Bound,,,1,1164.78,2026-04-07
B_319,TXFB-100319,Bound,,,1,2769.87,2026-04-12
B_320,TXFB-100320,Bound,,,1,1428.66,2026-04-02
B_321,TXFB-100321,Bound,,,1,3266.39,2026-04-02
B_322,TXFB-100322,Canceled,INT_03,2026-05-04,1,2470.17,2026-04-10
B_323,TXFB-100323,Bound,,,1,1809.05,2026-04-16
B_324,TXFB-100324,Bound,,,1,2869.74,2026-04-16
B_325,TXFB-100325,Withdrawn,,,0,2953.74,2026-04-10
B_326,TXFB-100326,Canceled,INT_02,2026-04-23,1,1371.44,2026-04-01
B_327,TXFB-100327,Bound,,,0,1519.14,2026-04-04
B_328,TXFB-100328,Bound,,,1,3307.87,2026-04-14
B_329,TXFB-100329,Bound,,,1,994.22,2026-04-05
B_330,TXFB-100330,Bound,,,1,626.45,2026-04-09
B_331,TXFB-100331,Bound,,,1,1862.17,2026-04-12
B_332,TXFB-100332,Canceled,INT_02,2026-05-09,1,2903.63,2026-04-13
B_333,TXFB-100333,Bound,,,0,2815.0,2026-04-12
B_334,TXFB-100334,Bound,,,1,3258.59,2026-04-02
B_335,TXFB-100335,Bound,,,1,2099.6,2026-04-13
B_336,TXFB-100336,Bound,,,1,800.19,2026-04-02
B_337,TXFB-100337,Draft,,,1,2266.07,2026-04-07
B_338,TXFB-100338,Canceled,INT_99,2026-04-14,1,2835.19,2026-04-12
B_339,TXFB-100339,Bound,,,1,779.98,2026-04-10
B_340,TXFB-100340,Bound,,,0,1017.97,2026-04-03
B_341,TXFB-100341,Bound,,,1,536.87,2026-04-13
B_342,TXFB-100342,Bound,,,1,2280.96,2026-04-15
B_343,TXFB-100343,Bound,,,0,3160.2,2026-04-09
B_344,TXFB-100344,Bound,,,1,2511.99,2026-04-04
B_345,TXFB-100345,Bound,,,1,3446.12,2026-04-05
B_346,TXFB-100346,Bound,,,1,689.1,2026-04-04
B_347,TXFB-100347,Bound,,,0,3209.0,2026-04-13
B_348,TXFB-100348,Bound,,,1,2942.2,2026-04-12
B_349,TXFB-100349,Bound,,,1,1442.72,2026-04-11
B_350,TXFB-100350,Bound,,,1,3420.58,2026-04-12
B_351,TXFB-100351,Bound,,,1,1363.81,2026-04-05
B_352,TXFB-100352,Draft,,,1,3167.91,2026-04-07
B_353,TXFB-100353,Bound,,,1,3142.25,2026-04-13
B_354,TXFB-100354,Bound,,,1,2772.97,2026-04-02
B_355,TXFB-100355,Bound,,,1,2190.41,2026-04-02
B_356,TXFB-100356,Bound,,,1,860.01,2026-04-02
B_357,TXFB-100357,Bound,,,1,2095.92,2026-04-05
B_358,TXFB-100358,Bound,,,1,1570.39,2026-04-11
B_359,TXFB-100359,Draft,,,1,2876.65,2026-04-16
B_360,TXFB-100360,Bound,,,1,2774.39,2026-04-15
B_361,TXFB-100361,Bound,,,1,3231.84,2026-04-05
B_362,TXFB-100362,Bound,,,1,544.49,2026-04-05
B_363,TXFB-100363,Bound,,,1,2927.31,2026-04-11
B_364,TXFB-100364,Bound,,,1,3315.39,2026-04-11
B_365,TXFB-100365,Draft,,,1,2867.9,2026-04-06
B_366,TXFB-100366,Bound,,,1,890.58,2026-04-13
B_367,TXFB-100367,Withdrawn,,,1,743.84,2026-04-10
B_368,TXFB-100368,Draft,,,1,562.54,2026-04-11
B_369,TXFB-100369,Bound,,,1,2386.24,2026-04-16
B_370,TXFB-100370,Bound,,,1,2389.02,2026-04-10
B_371,TXFB-100371,Bound,,,1,3460.74,2026-04-16
B_372,TXFB-100372,Bound,,,1,1694.13,2026-04-01
B_373,TXFB-100373,Bound,,,1,1495.72,2026-04-12
B_374,TXFB-100374,Bound,,,1,2373.27,2026-04-11
B_375,TXFB-100375,Bound,,,1,2976.83,2026-04-04
B_376,TXFB-100376,Bound,,,1,3310.32,2026-04-14
B_377,TXFB-100377,Canceled,INT_99,2026-05-03,1,2909.37,2026-04-10
B_378,TXFB-100378,Bound,,,1,1780.02,2026-04-01
B_379,TXFB-100379,Canceled,INT_02,2026-05-16,1,2404.74,2026-04-16
B_380,TXFB-100380,Bound,,,1,3068.9,2026-04-09
B_381,TXFB-100381,Bound,,,1,1971.83,2026-04-08
B_382,TXFB-100382,Bound,,,1,1150.06,2026-04-02
B_383,TXFB-100383,Bound,,,1,1009.17,2026-04-16
B_384,TXFB-100384,Draft,,,0,500.47,2026-04-06
B_385,TXFB-100385,Canceled,INT_08,2026-05-09,1,2654.71,2026-04-13
B_386,TXFB-100386,Canceled,INT_01,2026-04-27,1,833.29,2026-04-05
B_387,TXFB-100387,Bound,,,1,1231.52,2026-04-08
B_388,TXFB-100388,Bound,,,1,1393.63,2026-04-02
B_389,TXFB-100389,Canceled,INT_02,2026-04-12,1,2181.14,2026-04-04
B_390,TXFB-100390,Canceled,INT_05,2026-04-16,1,1693.87,2026-04-07
B_391,TXFB-100391,Withdrawn,,,1,2524.02,2026-04-01
B_392,TXFB-100392,Bound,,,1,666.92,2026-04-15
B_393,TXFB-100393,Bound,,,1,871.82,2026-04-11
B_394,TXFB-100394,Canceled,INT_06,2026-05-02,1,1997.63,2026-04-14
B_395,TXFB-100395,Bound,,,1,1510.89,2026-04-05
B_396,TXFB-100396,Draft,,,1,1387.44,2026-04-14
B_397,TXFB-100397,Draft,,,0,701.08,2026-04-07
B_398,TXFB-100398,Bound,,,1,3187.16,2026-04-14
B_399,TXFB-100399,Canceled,INT_99,2026-04-29,1,2575.46,2026-04-16
B_400,TXFB-100400,Canceled,INT_08,2026-04-12,1,864.85,2026-04-02
B_401,TXFB-100401,Bound,,,1,695.14,2026-04-05
B_402,TXFB-100402,Draft,,,1,3424.62,2026-04-07
B_403,TXFB-100403,Bound,,,1,2543.52,2026-04-11
B_404,TXFB-100404,Canceled,,2026-05-07,1,1752.37,2026-04-16
B_405,TXFB-100405,Bound,,,1,2605.19,2026-04-13
B_406,TXFB-100406,Draft,,,1,2769.0,2026-04-11
B_407,TXFB-100407,Bound,,,1,2839.89,2026-04-06
B_408,TXFB-100408,Bound,,,1,1933.63,2026-04-15
B_409,TXFB-100409,Draft,,,1,1789.65,2026-04-11
B_410,TXFB-100410,Bound,,,1,533.08,2026-04-12
B_411,TXFB-100411,Bound,,,1,3279.67,2026-04-09
B_412,TXFB-100412,Withdrawn,,,1,2309.92,2026-04-16
B_413,TXFB-100413,Withdrawn,,,1,1109.46,2026-04-07
B_414,TXFB-100414,Bound,,,0,3258.81,2026-04-08
